,lambda,f,df,F,dF,E,dE
0,0.0,0.0,0.0,0.0,0.0,2.757476971682731,0.24339517941740307
1,0.1,0.03193131137184757,0.005021444195386967,0.018918843832222653,0.002975133637276927,-1.1378713297452077,0.26938627927316544
2,0.2,-0.08860539524900268,0.00921107676839967,-0.05249742536055613,0.0054574308232641965,-5.491569780089412,0.3628015864263493
3,0.3,-0.37096368326441365,0.012910118554143295,-0.21979065968750633,0.007649060006870145,-8.837551767844024,0.3455884281145675
4,0.4,-0.8263665778717506,0.016284229414501476,-0.4896103405482943,0.009648172279346456,-13.467347163584705,0.38216103071118307
5,0.5,-1.4669119379244666,0.019413969864124976,-0.8691242757315641,0.011502498589728469,-17.365945977349025,0.3832486900514655
6,0.6,-2.3045660747121985,0.02234780692518945,-1.3654223329818644,0.01324075495324262,-23.519130375929482,0.3702078552496172
7,0.7,-3.350285740431074,0.025123622503432315,-1.9849962307661564,0.014885385855502649,-28.401810525440183,0.33114238300487303
8,0.8,-4.613725558426429,0.02779273445385257,-2.733566194890461,0.016466796389278615,-34.501959063379594,0.4169640127725319
9,0.9,-6.104165107113717,0.030483189631425604,-3.6166302424210492,0.01806085247890654,-40.06525799989791,0.48043970973859534
10,1.0,-7.832297407174862,0.03357401899433732,-4.640523834686778,0.019892124528714358,-45.97969638372863,0.3691736642926641
