,lambda,f,df,E,dE,F,dF
0,0.0,0.0,0.0,2.55694583630644,0.13892526171774658,0.0,0.0
1,0.005,0.004974625244551056,0.00027857506192019747,2.3757388705469538,0.13732002399478122,0.0029473940806724955,0.0001650517271478734
2,0.01,0.009583311845254627,0.0005539389560228064,2.19408653004254,0.13577151032131315,0.005677974765411939,0.00032820088343817847
3,0.015,0.013825159005067533,0.0008261741888505163,2.0119863356603673,0.13427823505179298,0.00819120834489503,0.0004894963528136417
4,0.02,0.01769926085001927,0.001095360849061282,1.8294357324613628,0.132838734523324,0.01048655810179187,0.0006489855866549762
5,0.025,0.02120470627705906,0.0013615766659330316,1.646432090427865,0.13145156853614437,0.012563484220617522,0.000806714638444082
6,0.03,0.02434057880329732,0.0016248970684338878,1.4629727051168544,0.13011532168176876,0.014421443698409756,0.0009627281987623054
7,0.035,0.027105956416487942,0.0018853952446563358,1.2790547982417877,0.1288286045188239,0.016059890256141934,0.001117069630504329
8,0.04,0.02949991142662256,0.0021431422014399353,1.0946755181933554,0.1275900545995385,0.017478274250794745,0.001269781004203774
9,0.045,0.03152151031851602,0.002398206824003251,0.9098319405052706,0.12639833734862332,0.01867604258801521,0.0014209031333642646
10,0.05,0.03316981360529603,0.002650655935429463,0.7245210682744272,0.12525214679878488,0.0196526386353114,0.001570475609703796
11,0.055,0.03444387568267615,0.0029005543558547945,0.5387398325410544,0.12415020618694853,0.02040750213571129,0.0017185368382230308
12,0.06,0.03534274468398557,0.0031479649612218773,0.35248509263959704,0.12309126841619296,0.02094006912186996,0.0018651240720158244
13,0.065,0.035865462335877396,0.003392948741470621,0.16575363652944475,0.12207411638920412,0.021249771830578832,0.0020102734467464796
14,0.07,0.03601106381468355,0.0036355648580516865,-0.02145781888992815,0.121097563219217,0.021336038617658017,0.002154020014725655
15,0.075,0.03577857760340031,0.003875870700654929,-0.2091526274659401,0.12016045232527171,0.021198293873222286,0.0022963977785211533
16,0.08,0.035167025349322145,0.004113921943057731,-0.39733421347557396,0.11926165741860516,0.020835957937331187,0.0024374397240472575
17,0.085,0.03417542172230803,0.00434977259800777,-0.5860060712945767,0.1184000823874942,0.02024844701601383,0.002577177853081982
18,0.09,0.032802774273749336,0.004583475071061639,-0.7751717650444334,0.11757466108820168,0.019435173097709414,0.0027156432151656867
19,0.095,0.031048083296280282,0.004815080213313598,-0.9648349282067699,0.11678435704930673,0.01839554387014768,0.0028528659388420987
20,0.1,0.028910341684296625,0.005044637372953839,-1.1549992631992154,0.11602816309736853,0.01712896263770822,0.0029888752622058527
21,0.105,0.026388534795378504,0.0052721944456057875,-1.3456685409012863,0.11530510091148674,0.01563482823931553,0.0031236995627266133
22,0.11,0.023481640312745355,0.005497797923398508,-1.5368466001220753,0.11461422051422944,0.013912534966945484,0.003257366386323775
23,0.115,0.02018862810881572,0.005721492942739236,-1.7285373470034955,0.11395459970655737,0.011961472484786507,0.003389902475671
24,0.12,0.01650846011007623,0.00594332333075567,-1.9207447543476235,0.11332534345388669,0.00978102574917637,0.0035213337977126114
25,0.125,0.012440090163375217,0.006163331650386177,-2.113472860861208,0.11272558323034368,0.007370574929383092,0.003651685570378892
26,0.13,0.007982463903820403,0.006381559244100908,-2.3067257703118145,0.11215447632807059,0.004729495329336188,0.0037809822884902174
27,0.135,0.003134518624507976,0.006598046276243071,-2.500507650580559,0.11161120513798704,0.001857157310443042,0.003909247748843653
28,0.14,-0.002104816851772995,0.006812831773984525,-2.694822732615222,0.11109497640827137,-0.0012470737844244,0.00403650507447856
29,0.145,-0.007736622298576634,0.007025953666894898,-2.8896753092637795,0.11060502048631796,-0.004583837705604192,0.00416277673812072
30,0.15,-0.013761986209379629,0.007237448825128066,-3.085069733991034,0.11014059054970876,-0.008153779369863392,0.004288084584807288
31,0.155,-0.020182005918449875,0.007447353096234015,-3.281010419468174,0.10970096183137995,-0.011957548932010996,0.004412449853697283
32,0.16,-0.026997787718718413,0.007655701340607466,-3.477501836025283,0.10928543084359557,-0.015995801854735384,0.004535893199074394
33,0.165,-0.03421044697640596,0.007862527465588963,-3.674548509967508,0.10889331460537341,-0.020269198976518868,0.004658434710551387
34,0.17,-0.041821108242098504,0.008067864458236635,-3.8721550217432963,0.10852394987708436,-0.02477840657744842,0.0047800939324869
35,0.17500000000000002,-0.049830905357985955,0.008271744416790463,-4.070326003962066,0.10817669240627965,-0.029524096442753004,0.004900889882627569
36,0.18,-0.05824098156092994,0.008474198580852646,-4.269066139254548,0.10785091618760391,-0.03450694592386979,0.005020841069989469
37,0.185,-0.06705248958106758,0.008675257360311123,-4.468380157971566,0.10754601274017539,-0.039727637996865475,0.005139965511994875
38,0.19,-0.07626659173560135,0.008874950363034673,-4.668272835718085,0.10726139040484976,-0.0451868613180054,0.0052582807508812215
39,0.195,-0.08588446001744643,0.009073306421370239,-4.868748990716,0.1069964736636281,-0.050885310276275866,0.005375803869400381
40,0.2,-0.09590727617838013,0.00927035361747515,-5.069813480992224,0.10675070248331213,-0.056823685042648966,0.005492551505827643
41,0.20500000000000002,-0.10633623180634721,0.009466119307517713,-5.271471201391222,0.10652353168495478,-0.06300269161588488,0.005608539868300219
42,0.21,-0.1171725283965479,0.009660630144781874,-5.473727080405752,0.10631443034056576,-0.0694230418646505,0.005723784748506422
43,0.215,-0.12841737741596582,0.009853912101712037,-5.6765860768250604,0.1061228811980038,-0.07608545356575126,0.0058383015347469045
44,0.22,-0.14007200036093437,0.010045990490935732,-5.880053176198089,0.10594838013510101,-0.08299065043823853,0.005952105224390288
45,0.225,-0.1521376288073828,0.01023688998530197,-6.08413338710875,0.10579043564321795,-0.09013936217317951,0.006065210435745599
46,0.23,-0.16461550445339235,0.010426634636974614,-6.288831737264999,0.10564856834083103,-0.09753232445887125,0.006177631419374828
47,0.23500000000000001,-0.17750687915365404,0.010615247895619956,-6.4941532693948005,0.10552231051700219,-0.10517027900125639,0.006289382068868788
48,0.24,-0.1908130149454781,0.01080275262572821,-6.7001030369566905,0.10541120570454474,-0.11305397353933329,0.006400475931109869
49,0.245,-0.20453518406593751,0.010989171123108986,-6.906686099656781,0.1053148082825624,-0.12118416185531346,0.0065109262160453615
50,0.25,-0.21867466895980492,0.011174525130601106,-7.113907518778859,0.1052326831076207,-0.12956160377932394,0.006620745805995298
51,0.255,-0.23323276227784895,0.011358835853036254,-7.321772352324018,0.10516440517277033,-0.13818706518839802,0.006729947264518201
52,0.26,-0.24821076686517074,0.01154212397149693,-7.530285649965009,0.10510955929350917,-0.14706131799956465,0.0068385428448587155
53,0.265,-0.26360999573915045,0.011724409656907919,-7.739452447813136,0.10506773981926153,-0.15618514015678223,0.006946544498000361
54,0.27,-0.27943177205666636,0.011905712583000444,-7.949277763004588,0.1050385503692602,-0.1655593156115162,0.007053963880346605
55,0.275,-0.2956774290702118,0.012086051938687545,-8.159766588105143,0.10502160359122913,-0.17518463429673922,0.0071608123610531005
56,0.28,-0.31234831007254016,0.012265446439888803,-8.37092388533911,0.10501652094119818,-0.1850618920941339,0.007267101029033657
57,0.28500000000000003,-0.329445768329526,0.012443914340841465,-8.582754580646139,0.10502293248279966,-0.19519189079431395,0.00737284069966193
