,lambda,f,df,F,dF
0,0.0,0.0,0.0,0.0,0.0
1,0.05,0.34161899618297475,0.003424360206047147,0.20240435363404902,0.00202888428881132
2,0.1,1.4342069235161894,0.007778566286488341,0.8497470239514726,0.004608688916622786
3,0.15,3.311104345681702,0.013813230680069082,1.9617818165581142,0.008184140983482975
4,0.2,5.79048116412471,0.023137497073974705,3.430777006987785,0.013708635035796475
5,0.25,8.218639536903655,0.036322451282201886,4.869426003252004,0.021520531224325106
6,0.3,9.805253768007411,0.04812582317677928,5.80947217018452,0.02851385971518173
7,0.35,10.50114251386935,0.05547011679460181,6.221776267383944,0.0328652483066342
8,0.4,10.61316154586547,0.06001351731380217,6.288145936574537,0.0355571479248182
9,0.45,10.396518667031383,0.06293949328215968,6.159788139292249,0.037290746703695705
10,0.5,9.980390398619312,0.06518072257166527,5.913238110933495,0.03861864290020904
11,0.55,9.412396768813505,0.06703898521971724,5.576710034937611,0.03971963685652815
12,0.6,8.720419950999313,0.06862358001935749,5.1667236989775045,0.040658486539293666
13,0.65,7.92768785136705,0.06997757506275133,4.697041304193197,0.041460709175165616
14,0.7,7.057287524516385,0.07113240702238838,4.181341599178216,0.04214493054153567
15,0.75,6.127256892686521,0.07214407128423311,3.630311794048278,0.04274432710115695
16,0.8,5.147784337190156,0.07305924277166483,3.0499883585466194,0.04328655307643238
17,0.85,4.1238336394671595,0.0739058741955119,2.443312261955228,0.043788170047457775
18,0.9,3.058773843666808,0.07469920960349635,1.8122796145929616,0.04425820989378439
19,0.95,1.9569535960686206,0.0754595477877995,1.1594669269853595,0.04470869935852931
20,1.0,0.8237963666122781,0.07625008563883566,0.48808752725486176,0.04517708169250386
