,lambda,f,df,F,dF,E,dE
0,0.0,0.0,0.0,0.0,0.0,5.0280339720890286e+20,4.706893438860843e+20
1,0.05,8.01371127872158,0.2652079717183645,4.748008950622769,0.1571319179964499,171613.81500710404,3320.9486025055335
2,0.1,14.839188970821828,0.29292560630814307,8.792006550139225,0.1735542187938096,14564.17680308207,405.5764070669044
3,0.15,19.26994525946469,0.29937016387796406,11.417166077955468,0.17737252668637885,3245.2223336963984,78.26301788950826
4,0.2,22.518764769486168,0.30271676564749933,13.34204502305775,0.17935534021724744,1076.658279596769,22.14887953186482
5,0.25,25.033777220849935,0.3048504720694793,14.832153814687171,0.18061953065750727,468.8329314344652,12.07791593811656
6,0.3,26.855893564333883,0.30636432215556814,15.911731604182723,0.18151646511255012,194.35716324093121,4.6671406989933315
7,0.35,27.999465312448258,0.3074605768501162,16.589281456788914,0.18216598028983097,71.5251732232083,3.135954860541445
8,0.4,28.47116561451942,0.3082672644308186,16.86875711773419,0.18264393110691385,6.57824689214955,2.096384441786676
9,0.45,28.269121538549776,0.3088846670716183,16.74904890168311,0.1830097333129952,-27.8692855304296,1.3040073666236351
10,0.5,27.396643391120694,0.3093533717455553,16.232118117788325,0.1832874341072527,-46.71947421575887,0.8415770934458525
11,0.55,25.877510356300018,0.3097094895943289,15.332053591422461,0.18349842882301484,-61.73466526959657,0.5931457524658051
12,0.6,23.74822565708488,0.30998943999426887,14.070482958457207,0.18366429541820584,-68.36806459961103,0.41276123886119825
13,0.65,21.066675685367827,0.3102144104038041,12.48170307552562,0.1837975871579438,-74.75719973116554,0.37921596087289
14,0.7,17.92512530200417,0.3103975368550068,10.620379548853396,0.18390608695275362,-80.31655542677976,0.3336084843137247
15,0.75,14.461095134342974,0.31054710168592137,8.56799137697675,0.1839947019690902,-83.9783297170061,0.2787638895448001
16,0.8,10.867330627248554,0.31066882555751,6.438737470435109,0.1840668216164928,-86.54372447211546,0.3296356846818222
17,0.85,7.400260554481987,0.31076723438559195,4.384548198400577,0.1841251274351456,-88.94274310692234,0.33277308869902217
18,0.9,4.3864336267682145,0.3108446392220807,2.598898986604202,0.18417098869014814,-90.42011399269424,0.3268132191095191
19,0.95,2.225924337010124,0.3108984349878606,1.3188282317577005,0.1842028619095024,-91.65474197064798,0.2454495232890555
20,1.0,1.390313875018201,0.31091931476631235,0.8237410225009418,0.18421523287864866,-91.86945642484092,0.2899236513301298
