,lambda,f,df,E,dE,F,dF
0,0.0,0.0,3.725290298461914e-09,1.6735562449828125e+19,1.657620767076393e+19,0.0,2.2071810507736485e-09
1,0.005,0.8814813319466115,0.02548018321582439,178508854.5783686,6960163.629541034,0.5222650415422835,0.01509664296160444
2,0.01,1.738081450068223,0.04452642121590163,20485336.750952553,869266.320799219,1.0297883208929166,0.026381265698160624
3,0.015,2.563233525919266,0.06637333007369565,6261761.477945484,323009.32656357414,1.518679086419812,0.039325245733437576
4,0.02,3.397516956444571,0.09676865493347889,2605827.972332393,169662.89483994374,2.012980048573061,0.057334039595843905
5,0.025,4.219695725676598,0.13618524265356782,1341939.7508231609,111269.74384261205,2.5001091725896716,0.08068780226444927
6,0.03,5.043724125608679,0.1866424797270494,775895.1310646288,69663.53797314971,2.9883341762572653,0.11058299126192513
7,0.035,5.861816212590942,0.23318049392711163,493139.64764212805,34514.63172434251,3.473041999677266,0.13815609694054087
8,0.04,6.702144598558166,0.26290524448349567,346601.78886265075,15779.0923425746,3.9709245111958573,0.15576758514969125
9,0.045,7.571360157404339,0.27834970457855424,248409.87343491972,6444.30605554951,4.4859222581674185,0.1649182061564132
10,0.05,8.434186705418732,0.28430414082742483,177506.39553039824,2728.1373878442146,4.997134607891706,0.16844612419865895
11,0.055,9.2698957575946,0.2861047557855462,129480.68736259262,1843.211802393738,5.492280230417864,0.16951296272583255
12,0.06,10.076672733351138,0.28713186921333334,96693.12390228851,1668.419687106751,5.970284012787661,0.17012151269460757
13,0.065,10.852248348034134,0.28856959955880973,73190.31952019781,1618.9315468422146,6.429801436403536,0.17097334729551583
14,0.07,11.590710558771395,0.2909287074680612,55784.381972195835,1518.7897281408082,6.867329700690658,0.1723710848828872
15,0.075,12.286556456348777,0.29439384706860255,42790.754163061654,1292.22272759939,7.279608410896276,0.174424130377827
16,0.08,12.938452623406267,0.29857108636255475,33206.84803938554,972.0105602878131,7.665847536366668,0.17689908472379168
17,0.085,13.550903612103266,0.3026114212019888,26263.924984841782,660.2832331303631,8.02871595962424,0.17929292514478154
18,0.09,14.131859143484423,0.3058393341269011,21213.792103777538,430.0424184931164,8.372923776324066,0.18120541723817768
19,0.095,14.687862810354414,0.30809970221540484,17403.927093361934,286.9836947429319,8.7023479713144,0.18254465289849084
20,0.1,15.221789534438116,0.30957918620372765,14411.048058638296,204.60043759175923,9.018691894467384,0.1834212259336976
21,0.105,15.734508313220147,0.3105418844323859,12021.671424391458,158.71858501101872,9.322470414324144,0.18399161082122845
22,0.11,16.227302242725017,0.3112124578245289,10119.060557349307,133.0611962579076,9.61444374686913,0.18438891593457815
23,0.115,16.702465743657935,0.31175298384793654,8604.702011430618,116.52139203104865,9.895971303449464,0.18470916984789276
24,0.12,17.162429475160554,0.31226416025909093,7385.142289597521,102.87676097235584,10.168493214731084,0.1850120345370603
25,0.125,17.608938720320886,0.31279328419947305,6384.657425623638,89.74457069012418,10.433043535902035,0.1853255328797812
26,0.13,18.04296977490765,0.3133477589811015,5550.847584219114,76.87988594460697,10.690200708197237,0.18565405123220263
27,0.135,18.465090522341455,0.3139118014641213,4849.365219132805,64.90059688609972,10.940301194395314,0.18598823831041947
28,0.14,18.875783528563467,0.31446246788279963,4255.943871558947,54.48546486392526,11.183630907892473,0.18631450026243596
29,0.145,19.275536670124957,0.31498104553011275,3751.242622501061,45.9749722190027,11.420478908545215,0.18662175007783338
30,0.15,19.664776606265036,0.3154579426353083,3319.0448470656524,39.31430970921139,11.651097985830933,0.1869043047700653
31,0.155,20.04379313832478,0.3158922979872381,2946.0972967537973,34.191201736469566,11.875659842886103,0.1871616540838832
32,0.16,20.412733383440223,0.3162890927725204,2622.059070335263,30.207018833495486,12.09425164450296,0.18739674930088746
33,0.165,20.77165449508047,0.3166560021371191,2339.041177417199,26.993652415387782,12.306907253291904,0.18761413783493755
34,0.17,21.120586140974154,0.31700094098004583,2090.9244374188715,24.26655738405307,12.513644246956472,0.1878185091501336
35,0.17500000000000002,21.459569543848954,0.3173304326124077,1872.7759600670365,21.837367695391222,12.714487049371344,0.188013728214709
