,lambda,f,df,F,dF,E,dE
0,0.0,0.0,0.0,0.0,0.0,0.9001191027350296,0.2123446350477015
1,0.1,-0.015870397181126705,0.0035471789612017677,-0.009402982618803422,0.0021016526390171576,-1.5595080065409774,0.16932326740201425
2,0.2,-0.12582088918607326,0.006742670932233093,-0.07454707154437112,0.003994935782419891,-4.002702226233482,0.24433826096069455
3,0.3,-0.3447122061219208,0.00980624355273657,-0.20423703614100028,0.0058100586034349555,-6.867173030839044,0.23889663953774493
4,0.4,-0.6959145621508398,0.012924453333010094,-0.4123193929801811,0.007657553157671008,-10.45933653969872,0.3178013820327256
5,0.5,-1.21488084344597,0.01627077016160532,-0.7197994684357796,0.009640197865121011,-15.337413852942314,0.40140325781787606
6,0.6,-1.951464865191447,0.019974130833514316,-1.1562149326938285,0.011834385926811868,-22.088383071540044,0.5307643298420057
7,0.7,-2.9662942078658414,0.024023373556393012,-1.7574867572935942,0.014233504140930914,-29.57764908051451,0.5706733596478385
8,0.8,-4.3172614314584,0.02822189808809107,-2.557915453376933,0.016721069684856,-37.73466874719368,0.5347746758804063
9,0.9,-6.043040598238381,0.032381274629357214,-3.580414847936708,0.01918544060615185,-47.60416477192342,0.6515434737202594
10,1.0,-8.161176696469324,0.03680312024306557,-4.835380094780749,0.021805320686921193,-57.02885517651563,0.6216381748353456
