,lambda,f,df,E,dE,F,dF
0,0.0,0.0,0.0,1.178845401647905,0.09663192103896608,0.0,0.0
1,0.005,0.0022696260385384193,0.000194029394618051,1.0716193472029687,0.09577158436333676,0.0013447208628741651,0.00011495963234619931
2,0.01,0.00432261294172509,0.00038633837980755565,0.9640278627237251,0.09493965952276277,0.002561086146425616,0.0002288999467906964
3,0.015,0.006158213625334419,0.0005769700546202834,0.8560609671421133,0.09413572862236656,0.0036486532139699728,0.00034184647890327254
4,0.02,0.007775660603520862,0.0007659667623294361,0.7477084108562622,0.09335938192405646,0.004606967341155762,0.0004538243164657517
5,0.025,0.00917416544262828,0.0009533701075082483,0.6389596711934473,0.09261021811973083,0.0054355613923542925,0.0005648581095908263
6,0.03,0.010352918205763117,0.0011392209732311862,0.5298039477734022,0.09188784459076316,0.00613395549157724,0.0006749720809135205
7,0.035,0.01131108688788629,0.0013235595383759777,0.42023015776619843,0.09119187765276474,0.006701656687776688,0.0007841900358423952
8,0.04,0.012047816841270986,0.001506425295000766,0.31022693104988264,0.0905219427849351,0.007138158614437123,0.0008925353728552618
9,0.045,0.012562230191052848,0.0016878570657815359,0.19978260526336555,0.08987767484286101,0.007442941143297304,0.0010000310938306073
10,0.05,0.012853425240729521,0.0018678930214843193,0.08888522075956473,0.08925871825475705,0.007615470032117274,0.0011066998143996253
11,0.055,0.012920475867359116,0.0020465706984565163,-0.022477484544936033,0.08866472719972433,0.007655196566342121,0.001212563774309573
12,0.06,0.012762430906283484,0.0022239270161159472,-0.13431808041883642,0.08809536576818035,0.007561557194559359,0.0013176448477857825
13,0.065,0.012378313525147178,0.0023999982944188994,-0.24664944966686164,0.08755030810331901,0.0073339731576141315,0.0014219645538812303
14,0.07,0.011767120587041546,0.0025748202712899695,-0.3594847935762857,0.0870292385236009,0.006971850111281232,0.001525544066803466
15,0.075,0.010927822002553711,0.002748428119993513,-0.47283763746204954,0.08653185162555348,0.006474577742363421,0.0016284042262069485
16,0.08,0.009859360070542778,0.002920856466431951,-0.5867218363058981,0.08605785236661395,0.005841529378110784,0.0017305655474420445
17,0.085,0.008560648807440785,0.0030921394063517433,-0.7011515804896646,0.08560695612816276,0.00507206158884117,0.00183204823174932
18,0.09,0.0070305732649060815,0.0032623105224412444,-0.8161414016172017,0.08517888875763355,0.00416551378365961,0.0019328721763897754
19,0.095,0.00526798883563373,0.0034314029013040367,-0.9317061784268645,0.08477338659065956,0.0031212077991609384,0.0020330569847013015
20,0.1,0.003271720547164847,0.0035994491502919263,-1.0478611427874114,0.08439019645238602,0.0019384474810219602,0.002132621976071987
21,0.105,0.0010405623435225664,0.003766481414182265,-1.164621885774963,0.08402907563828695,0.000616518258381068,0.002231586195821196
22,0.11,-0.0014267236455154375,0.0039325313916845775,-1.2820043638322005,0.08368979187473702,-0.0008453132891073048,0.0023299684249795016
23,0.115,-0.004131407847603796,0.004097630351761154,-1.400024904996883,0.08337212325899045,-0.002447799871600227,0.0024277871899584104
24,0.12,-0.007074794003681717,0.00426180914974846,-1.5187002152036797,0.08307585817940387,-0.004191713936897894,0.0025250607721020607
25,0.125,-0.010258219936590152,0.004425098243263836,-1.6380473846510597,0.08280079521565302,-0.0060778481258382715,0.0026218072171117148
26,0.13,-0.013683058332588871,0.004587527707885319,-1.7580838942252512,0.08254674301966519,-0.008107015735334752,0.0027180443443358313
27,0.135,-0.01735071753589068,0.0047491272525894395,-1.8788276219827367,0.08231352017753851,-0.010280051189126272,0.0028137897559167347
28,0.14,-0.02126264235633002,0.004909926234935445,-2.0002968496784206,0.08210095505284169,-0.012597810516309371,0.002909060845787053
29,0.145,-0.025420314890217455,0.005069953675981861,-2.1225102693345406,0.08190888561202428,-0.015061171837682706,0.0030038748085075635
30,0.15,-0.029825255354506197,0.005229238274922864,-2.245486989847919,0.08173715923228614,-0.017671035859978736,0.0030982486479390345
31,0.155,-0.0344790229342955,0.005387808423432606,-2.369246543618857,0.0815856324928673,-0.02042832637799733,0.0031921991857410334
32,0.16,-0.03938321664373312,0.005545692219704106,-2.4938088932035214,0.0814541709499736,-0.023333990784678123,0.0032857430696897664
33,0.165,-0.044539476200343486,0.005702917482171454,-2.619194437971146,0.08134264889661912,-0.026389000589127402,0.0033788967818082884
34,0.17,-0.04994948291278334,0.005859511762902688,-2.745424020765057,0.08125094910766183,-0.029594351942600603,0.0034716766463015903
35,0.17500000000000002,-0.05561496058203019,0.0060155023606516715,-2.8725189345510245,0.08117896257111898,-0.03295106617244353,0.0035640988372896494
36,0.18,-0.06153767641595387,0.006170916333557264,-3.0005009290460407,0.08112658820653391,-0.03646019032396287,0.0036561793863315053
37,0.185,-0.06771944195722845,0.006325780511477918,-3.1293922173127555,0.08109373257111553,-0.04012279771020071,0.0037479341897333324
38,0.19,-0.07416211402450834,0.006480121507949999,-3.2592154823099833,0.08108030955488474,-0.04393998846956784,0.0038393790156335717
39,0.195,-0.08086759566675106,0.006633965731758592,-3.3899938833841787,0.08108624006523438,-0.04791289013126636,0.003930529510858469
40,0.2,-0.08783783713056437,0.006787339398108987,-3.5217510626883666,0.08111145170221334,-0.052042658188428896,0.0040214012075410165
41,0.20500000000000002,-0.09507483684042484,0.0069402685393875636,-3.654511151514427,0.08115587842526338,-0.05633047667888411,0.00411200952949663
42,0.21,-0.10258064239154407,0.007092779015500378,-3.7882987765201364,0.08121946021232203,-0.06077755877341565,0.004202369798348605
43,0.215,-0.11035735155520676,0.0072448965237785195,-3.9231390658389245,0.08130214271233129,-0.06538514737141053,0.004292497239396902
44,0.22,-0.11840711329626785,0.007396646608438226,-4.059057655049827,0.08140387689185682,-0.07015451570371163,0.004382406987223129
45,0.225,-0.12673212880256202,0.007548054669585095,-4.196080692992197,0.08152461867682635,-0.07508696794252798,0.004472114091025408
46,0.23,-0.1353346525258381,0.007699145971750271,-4.334234847402826,0.08166432859021022,-0.08018383981817352,0.004561633519675943
47,0.23500000000000001,-0.14421699323389525,0.007849945651947902,-4.473547310357489,0.08182297138653088,-0.0854464992424427,0.004650980166494947
48,0.24,-0.15338151507346964,0.008000478727242074,-4.6140458034936955,0.08200051568377091,-0.09087634693835553,0.0047401688537339415
49,0.245,-0.16283063864340086,0.008150770101812213,-4.755758582988932,0.08219693359376831,-0.09647481707599333,0.004829214336761907
50,0.25,-0.1725668420775932,0.008300844573505417,-4.898714444275399,0.08241220035152412,-0.10224337791413773,0.004918131307947445
51,0.255,-0.18259266213718384,0.008450726839864446,-5.04294272646051,0.0826462939441584,-0.10818353244736464,0.005006934400230279
52,0.26,-0.19291069531132798,0.008600441503620233,-5.188473316432464,0.08289919474011302,-0.1142968190582437,0.0050956381903754806
53,0.265,-0.20352359892589433,0.00875001307763777,-5.335336652614757,0.08317088511919123,-0.12058481217422434,0.005184257201903845
54,0.27,-0.21443409225938126,0.008899465989303582,-5.483563728348997,0.08346134910373817,-0.12704912292880022,0.005272805907691397
55,0.275,-0.22564495766524217,0.00904882458434466,-5.633186094869927,0.08377057199144293,-0.13369139982647085,0.0053612987322320645
56,0.28,-0.23715904169977264,0.009198113130066821,-5.784235863842127,0.08409853999007441,-0.14051332941099845,0.0054497500535563535
57,0.28500000000000003,-0.24897925625467465,0.00934735581800244,-5.936745709428706,0.08444523985434386,-0.1475166369364362,0.005538174204800091
