,lambda,f,df,F,dF
0,0.0,0.0,0.0,0.0,0.0
1,0.05,0.19647471725364518,0.002445680810037066,0.11640845092190594,0.0014490307889249042
2,0.1,0.7986557203524338,0.005662512922622684,0.47319205506794465,0.0033549576600067684
3,0.15,1.815574384284199,0.010201798749648558,1.0757017725347846,0.006044419382115653
4,0.2,3.1277698869305652,0.01716387190835834,1.8531587802603997,0.01016934783570451
5,0.25,4.367868251298015,0.026719026736511053,2.587899268017105,0.01583063997248498
6,0.3,5.169732619998916,0.034931544121547926,3.0629924011933136,0.020696438688597534
7,0.35,5.571123972468344,0.039936747536980635,3.300811018303694,0.02366194989677689
8,0.4,5.724328768131182,0.043208167264919384,3.3915826615268485,0.02560021914672359
9,0.45,5.709533549573251,0.04563225015098959,3.382816706815453,0.02703645347558862
10,0.5,5.56962615516958,0.04754483883557907,3.2999235830451,0.028169634829077483
11,0.55,5.33391028081196,0.04909878692868404,3.1602653095775297,0.029090326777944726
12,0.6,5.02618607321147,0.050377477515207415,2.9779431318507186,0.0298479326036014
13,0.65,4.665058815665603,0.05145735974164204,2.763980413266831,0.03048774732843985
14,0.7,4.2622562080829685,0.05239975468640238,2.5253256477507917,0.031046102811575944
15,0.75,3.823632935651421,0.053247715138056206,2.2654476522724383,0.03154850721250774
16,0.8,3.3512899818799458,0.05402793585055635,1.9855912294155948,0.03201077678993166
17,0.85,2.8464492165081694,0.0547493535122811,1.6864803194694067,0.03243820640348681
18,0.9,2.311973183758573,0.05541753569006907,1.369810938813448,0.0328340947566407
19,0.95,1.7523517055522007,0.056052446856624125,1.0382432425152501,0.03321027051301693
20,1.0,1.1720622181847347,0.05669752140587873,0.6944300473370274,0.033592467927816776
