,lambda,f,df,F,dF,E,dE
0,0.0,0.0,0.0,0.0,0.0,1.2889984690747934e+16,1.2662733569369148e+16
1,0.05,4.47104875849611,0.10655744501731837,2.6490322380814457,0.06313375726938251,86643.74352041737,2725.150506776253
2,0.1,7.887420193688201,0.12288564865702904,4.673183294785315,0.07280798364621616,7832.439489396851,236.62027218342678
3,0.15,10.368490115857046,0.1300448623294858,6.143181624879619,0.07704971502559627,1882.0810330884187,54.334340292204736
4,0.2,12.363286266857509,0.13409987522167213,7.325069722691024,0.07945225198223876,716.6561039181825,19.946387156098385
5,0.25,13.94481502974468,0.1369004446483621,8.26210282267233,0.08111154918453149,286.06099846281666,9.028235278406498
6,0.3,15.093630056104852,0.13889777482253013,8.942759242407757,0.08229493865471112,119.69298947185332,3.76149821985928
7,0.35,15.843781431419458,0.14027149700535765,9.387213168988941,0.08310884933764935,50.05694392170397,2.0589693930338115
8,0.4,16.215807193714397,0.14129495195735936,9.607633095263152,0.08371523171201392,10.810966334685563,1.3060301464493917
9,0.45,16.193773269214997,0.1421124960003222,9.594578311143554,0.08419961482721583,-11.224721559350252,1.0809492080695366
10,0.5,15.771914179816038,0.14274323895568503,9.344632853576812,0.08457332097826682,-23.978892854100597,0.6275366472868241
11,0.55,14.965438633511129,0.14321957325636744,8.866807663832148,0.0848555422168999,-33.231105323618436,0.4424532557339229
12,0.6,13.799883779170246,0.1435875191686485,8.176233136203898,0.08507354489057925,-38.518322810008556,0.3632326623581381
13,0.65,12.312150352774305,0.1438783191282858,7.294772427303054,0.0852458396942197,-42.226344790206966,0.2774303168589147
14,0.7,10.557795174244141,0.14411120907185446,6.255342155794515,0.08538382364424171,-44.39348979996879,0.25698643074659944
15,0.75,8.617369990474504,0.14429969227951564,5.105668075943981,0.08549549724039356,-47.17146206486493,0.20849037756062064
16,0.8,6.601660803691683,0.1444537420652364,3.9113893044951342,0.08558676952810197,-48.851936253801426,0.19814174822840086
17,0.85,4.656279594504246,0.14457981133571374,2.758778850694406,0.08566146376199761,-49.78866549589789,0.1840381702660986
18,0.9,2.965326226382258,0.14467959293734511,1.7569132421533253,0.08572058292928171,-50.515202187671846,0.17740915217682526
19,0.95,1.7534091585162113,0.14474842179794967,1.038869768223921,0.08576136304162234,-51.27789118671986,0.1794941461012029
20,1.0,1.2847641789845312,0.14477481796028252,0.7612043420450264,0.08577700238906816,-51.66650168384103,0.15512985311403268
