,lambda,f,df,E,dE,F,dF
0,0.0,0.0,2.634178031930877e-09,4.014190185376029e+19,4.012473415743631e+19,0.0,1.5607126883084964e-09
1,0.005,0.4765176446247814,0.017143073103396928,95149888.99173298,4101685.251531336,0.2823298672882907,0.010157024842189475
2,0.01,0.9603597093028533,0.02720606196202708,11991866.217741005,470851.45271942165,0.5689993483661977,0.01611920135554339
3,0.015,1.424936942296462,0.03705695708902216,3421048.776842255,136097.06567094653,0.8442546930859672,0.021955715376058536
4,0.02,1.8881630766335364,0.04750135211802072,1481546.8173257855,62609.04384340012,1.1187095312375215,0.028143869572878587
5,0.025,2.3614534314106708,0.05967591401770824,776209.9404302433,36371.542388569156,1.3991272755967556,0.035357122815869
6,0.03,2.838253683533768,0.07401670097463499,448370.9350417398,22867.643045815195,1.6816245837729007,0.043853833323927734
7,0.035,3.303475301946751,0.089023731307549,272637.0481478711,13331.75635792488,1.9572617176079035,0.05274528347289169
8,0.04,3.7477496194527085,0.10139397542950869,175258.43795817293,6812.2095189180645,2.2204878762107403,0.06007447562489833
9,0.045,4.17463172678332,0.10929643043554484,119770.08315924594,3246.563881150936,2.473409399830917,0.0647565668302779
10,0.05,4.5896564015680426,0.11350587160542266,85475.88856083663,1754.7518447913492,2.7193055648000053,0.06725060032569082
11,0.055,4.992275759211506,0.11578555612716043,62258.55658137254,1173.2329623328362,2.9578517573563854,0.06860128069553986
12,0.06,5.377696445431769,0.11736660883502026,45830.047770810765,887.0673385466225,3.1862079838638264,0.06953803173974797
13,0.065,5.742483661343797,0.1187930543089221,34199.40325525213,700.5617114664626,3.402339175265992,0.07038318021616548
14,0.07,6.0867021201035305,0.12025897986568537,26003.348297032062,557.7125626028477,3.606283673179263,0.07125172007521179
15,0.075,6.412659144145366,0.12180352922890898,20188.319066537937,441.2321611555247,3.7994085330401854,0.07216684341147882
16,0.08,6.723226837721495,0.12339161162564029,15985.07681330098,344.09133896323226,3.9834154354087676,0.07310775944548017
17,0.085,7.020837771926048,0.12495158849501532,12872.016008977207,263.9687828667163,4.159745643755361,0.07403202335778558
18,0.09,7.307320028432134,0.12640450966853886,10516.581951464952,200.43728723857973,4.329482270241672,0.07489285830635134
19,0.095,7.5841808681465315,0.12769278739884857,8706.688168942776,152.65136792708313,4.493518345328545,0.07565614437714353
20,0.1,7.852817304427228,0.1287961523909496,7298.184909095371,118.47186411622627,4.652681579386016,0.07630987230370483
21,0.105,8.114504530834765,0.12972881347921092,6187.054860624031,94.75872233835675,4.807727506302021,0.07686246061652818
22,0.11,8.37029347174731,0.13052520267661757,5296.928152071542,78.19682378241738,4.959278783691793,0.0773343097892712
23,0.115,8.620940557694155,0.1312246914321047,4572.198246981873,66.07770804473284,5.107783585790552,0.07774874684052002
24,0.12,8.86690338888464,0.13186108423160092,3972.9393270430596,56.6223178390122,5.253513034156608,0.07812580044315517
25,0.125,9.108392023962018,0.13245804087669508,3470.8056256123778,48.84553340475162,5.396591585522135,0.0784794886901434
26,0.13,9.34545152859624,0.13302907922494217,3045.6863850741597,42.255159162594936,5.537045940649968,0.07881782071812964
27,0.135,9.578046385394206,0.13358001515454812,2683.053887687555,36.607464417945664,5.674855055994306,0.07914424235150373
28,0.14,9.80612395791232,0.13411199183872685,2372.031847133666,31.7666212647559,5.809987745217553,0.07945943090399252
29,0.145,10.029649800625151,0.13462402197224446,2104.1425816978226,27.636281965870072,5.942423599840123,0.0797628014114109
30,0.15,10.248620896403594,0.13511468355607859,1872.5687250741678,24.13000681078622,6.07216083225631,0.0800535113597412
31,0.155,10.463066842805809,0.13558303078359446,1671.7236887417905,21.16201403226485,6.199216978594655,0.08033100037212293
32,0.16,10.673045875413482,0.13602893036108013,1496.9766940642485,18.648264382826614,6.3236265426017315,0.08059518947394426
33,0.165,10.878638409406488,0.13645303847344134,1344.4550575990884,16.511227711527443,6.445437169117805,0.08084646744534679
34,0.17,11.079938857030147,0.1368565945403067,1210.8960486350866,14.683861623660722,6.564704796043588,0.08108556862467707
35,0.17500000000000002,11.277046537288616,0.1372411609674328,1093.5374581222534,13.11094993693805,6.681488268463998,0.08131341871492828
36,0.18,11.470056971416657,0.13760838961957442,990.037261259135,11.748249213453617,6.795844181340075,0.08153099642226636
37,0.185,11.659054843269992,0.13795985232026833,898.4123597011584,10.56074489353971,6.9078227086412785,0.08173923302958408
38,0.19,11.844109397827516,0.1382969423289633,816.9884379983329,9.520887621008962,7.017464877024066,0.08193895402311413
39,0.195,12.025272417611536,0.1386208378769011,744.3562073728168,8.607009237848255,7.12480136688992,0.0821308574879618
40,0.2,12.202578426377837,0.13893251241766322,679.3319462753154,7.801859269370443,7.2298526330687904,0.08231552018140686
41,0.20500000000000002,12.376046490580343,0.13923277418871818,620.9217227603507,7.091279116975544,7.332629972161059,0.08249342097255269
42,0.21,12.545682890979002,0.13952231752711614,568.2893408776412,6.463133507168148,7.4331371054268764,0.08266497124613903
43,0.215,12.711483990416507,0.13980177017522188,520.7283207528585,5.90660665547034,7.531371877902727,0.0828305429305101
44,0.22,12.873438811124611,0.14007172505936777,477.6382474997788,5.4118765770318795,7.627327785418434,0.08299048732601039
45,0.225,13.03153110795244,0.1403327514748231,438.50560014814806,4.970079305147228,7.720995202955192,0.08314514173191864
46,0.23,13.185740992584147,0.1405853875987591,402.8887628252911,4.573416309954135,7.812362346971224,0.08329482501048693
47,0.23500000000000001,13.336046333876677,0.1408301216611282,370.40650881829265,4.215262054075628,7.901416105081809,0.0834398264309569
48,0.24,13.482424182980687,0.1410673712757441,340.72901959186123,3.89018224594529,7.988142880422987,0.08358039342352114
49,0.245,13.624852367846671,0.14129746920087294,313.57053002738775,3.5938428341442843,8.072529536373553,0.0837167231426779
50,0.25,13.76331123702759,0.1415206603346603,288.6829236143719,3.3228409786048467,8.154564429733098,0.08384896068706459
51,0.255,13.897785384258373,0.14173711067687333,265.8499138666041,3.0745071656776126,8.23423843251062,0.08397720440916144
52,0.26,14.028265107381362,0.1419469257868503,244.88172300147346,2.84671858188438,8.311545796316913,0.08410151685136182
53,0.265,14.154747365155597,0.14215017451031026,225.61033727882239,2.637743967425614,8.386484719260348,0.08422193880376642
54,0.27,14.27723607727198,0.14234691352241377,207.8854681019372,2.4461231502708327,8.45905752370154,0.08433850384559474
55,0.275,14.395741730986533,0.14253720901192402,191.5713074037215,2.270576054591286,8.529270423189212,0.08445125119273923
56,0.28,14.51028037363655,0.14272115312765998,176.54408083212783,2.1099350110189725,8.59713292554046,0.084560235442053
57,0.28500000000000003,14.62087215510418,0.1428988741485626,162.69031597645403,1.9630965373062725,8.662656969271344,0.08466553259696798
58,0.29,14.72753962497065,0.1430705404352494,149.9056835657654,1.8289908160385215,8.725855914685194,0.08476724240873437
59,0.295,14.83030598757086,0.14323635899245973,138.09424719996517,1.7065673829860675,8.786743510017502,0.08486548752469016
60,0.3,14.929193486050629,0.14339656988681074,127.16796713904199,1.5947944341653844,8.845332934013014,0.08496041018086141
61,0.305,15.02422203869844,0.1435514379035246,117.04633378568542,1.492667822521243,8.901635987971867,0.08505216725869313
62,0.31,15.115408200198608,0.14370124277175153,107.65604369223104,1.3992251918116743,8.955662480306989,0.08514092449369322
63,0.315,15.2027644754905,0.14384626912118068,98.93066552736269,1.3135610745165807,9.007419820015532,0.08522685052486857
64,0.32,15.286298978466558,0.14398679709069917,90.81027049264767,1.2348398860559628,9.056912814462347,0.08531011133049035
65,0.325,15.366015402326614,0.14412309427378395,83.24102018457458,1.162305079515023,9.104143651815344,0.08539086545585416
66,0.33,15.441913251861305,0.14425540943861404,76.17471616911453,1.0952838690346265,9.149112038670083,0.0854692602925367
67,0.335,15.513988278672866,0.14438396823736427,69.56832164758231,1.033187696549132,9.191815457911842,0.08554542953621386
68,0.34,15.582233056971521,0.14450897093442489,63.3834683966451,0.9755090200898018,9.232249509866728,0.08561949184066345
69,0.34500000000000003,15.646637639051896,0.14463059201684098,57.58596292011332,0.9218151620331939,9.270408300662035,0.08569155058695611
70,0.35000000000000003,15.707190234968117,0.144748981422928,52.14530516692015,0.8717399998505518,9.306284844924,0.08576169461139241
71,0.355,15.763877869384167,0.14486426703836072,47.03423162863001,0.8249742903180797,9.339871454952204,0.08582999968439972
72,0.36,15.816686979064695,0.14497655806042312,42.22829238846347,0.7812554145044812,9.371160094724308,0.08589653050380203
73,0.365,15.865603925896373,0.1450859488052613,37.70546900643775,0.7403573015677726,9.400142683853849,0.08596134295056262
74,0.37,15.910615411626221,0.14519252258853235,33.445837270349514,0.7020812107590827,9.426811343316738,0.08602448638801292
75,0.375,15.95170879075577,0.14529635532120996,29.43127609531315,0.6662479103113413,9.451158580836577,0.08608600579231564
76,0.38,15.98887228656763,0.14539751858741654,25.64522144451557,0.6326915966646224,9.473177418877281,0.08614594357603621
77,0.385,16.022095121693244,0.14549608202591216,22.072462223447673,0.601255673740832,9.49286147200262,0.08620434099914077
78,0.39,16.051367578833823,0.14559211494736773,18.698973737134295,0.57179029534939,9.510204982852484,0.08626123912720739
79,0.395,16.07668100931893,0.14568568719878786,15.511783489111409,0.544151398385455,9.525202827213732,0.08631667934358407
80,0.4,16.098027807384184,0.14577686936141515,12.498863783895843,0.5182008436923752,9.5378504987801,0.0863707034666444
