,lambda,f,df,F,dF
0,0.0,0.0,0.0,0.0,0.0
1,0.05,0.04555531788601641,0.0007943741521807308,0.026990872212428536,0.00047065528735884017
2,0.1,0.19635895426180738,0.0017732582680876146,0.1163398630102281,0.0010506300808467573
3,0.15,0.4713274705388546,0.0030000311291066323,0.27925476361183255,0.0017774753990659846
4,0.2,0.88729848966954,0.004600673091103956,0.525711624027603,0.0027258327952807988
5,0.25,1.4487913142859377,0.006846904258253983,0.8583880662233614,0.004056692532530723
6,0.3,2.1222675199642964,0.010258477250918916,1.2574130549427491,0.006078000580886077
7,0.35,2.7964721226413882,0.015224624176437511,1.6568696084327288,0.009020371379180126
8,0.4,3.3101005100079117,0.020489357101507795,1.9611870583245894,0.012139650098048552
9,0.45,3.612475724671631,0.024053883307858865,2.1403400344845758,0.014251580730915604
10,0.5,3.778187381987255,0.02607892562201731,2.2385218137865412,0.015451389246421292
11,0.55,3.871291302285522,0.027405799232154318,2.293684550693225,0.016237542822231263
12,0.6,3.9185865758577876,0.028409940061470986,2.3217063216845917,0.01683248185602709
13,0.65,3.9317096217319083,0.02922134498780959,2.329481538073433,0.01731322763271418
14,0.7,3.9176004939726585,0.029899531546572006,2.3211220823161143,0.017715043438050967
15,0.75,3.881244848022291,0.030481475098555515,2.2995818837271838,0.018059836642781407
16,0.8,3.8263783025423077,0.030993622126050908,2.2670742427643225,0.018363276408204413
17,0.85,3.7557980251104954,0.03145637648423051,2.225256441083159,0.018637451725751788
18,0.9,3.6716041371436035,0.031887261571830604,2.1753727704902364,0.018892744957746226
19,0.95,3.5753678920726255,0.03230251515569674,2.118354176098822,0.019138776748061626
20,1.0,3.468272486401439,0.03271757512023929,2.0549016848607686,0.019384693821705885
