,lambda,f,df,F,dF,E,dE
0,0.0,0.0,0.0,0.0,0.0,2188545193223340.8,1763490856505423.2
1,0.05,0.779045974966297,0.021217675169339294,0.4615735622904429,0.012571168103213806,19195.5841285501,812.3751995139669
2,0.1,1.7642132057872875,0.02931469518260019,1.0452710112138237,0.017368536283723982,2741.4045851842784,84.34773161864136
3,0.15,2.7806503281066526,0.03496922774223357,1.6474954221845535,0.020718765693163124,867.3781299246369,24.629711125871747
4,0.2,3.744719158088836,0.03926243697137533,2.2186923713341935,0.02326243056177232,345.5015793915196,8.79078810120385
5,0.25,4.611432566092724,0.04252800027369012,2.732207629832964,0.02519722996356576,174.16686173328344,4.613820819841288
6,0.3,5.355126305487335,0.045126674904615124,3.172835499786751,0.02673690739618679,89.23040649731779,3.5113511541379334
7,0.35,5.953586681125152,0.04715360892439978,3.527414685546326,0.027937836720133512,43.05191181057385,1.8646675672380761
8,0.4,6.4019828490704676,0.04871763565643427,3.7930829813935087,0.028864500117956562,24.792983712659062,1.3117484418992584
9,0.45,6.698256313918588,0.04995467883043805,3.9686207583366415,0.029597430449259155,10.051836439381212,0.7811444920919622
10,0.5,6.83982560381811,0.0509493151307752,4.052498531343142,0.030186738186007128,2.9525845560537665,0.6204227641257896
11,0.55,6.827760579102689,0.05174816093113722,4.045350177310172,0.030660042860753453,-3.288103478692218,0.48402491198455094
12,0.6,6.669005797894803,0.05238635430516943,3.9512902472836626,0.031038163277966248,-6.338355438092474,0.28223325822311396
13,0.65,6.376957545455575,0.05289476815633681,3.7782558480687705,0.031339391189979124,-9.63506612251615,0.24858335789183875
14,0.7,5.972149025413264,0.05329920549782704,3.538412608201528,0.031579014511879985,-10.90336254494193,0.1877847496891917
15,0.75,5.483270052276739,0.05362080358593966,3.2487588311323607,0.03176955676474556,-11.79327081165136,0.21145967326205511
16,0.8,4.948180607325966,0.053876279819687886,2.9317260125485425,0.03192092276762725,-13.31445574743475,0.1464088799165491
17,0.85,4.414795386436305,0.05407700578397296,2.615702922268451,0.0320398500214177,-14.02500868436312,0.10865017055874317
18,0.9,3.9417632007822245,0.05422787679524005,2.3354381394103743,0.03212923893087189,-14.500782238789743,0.11570033818108277
19,0.95,3.5986796163822277,0.05432657694165151,2.132166038271887,0.032187717351455085,-14.50745494101036,0.1171464116438016
20,1.0,3.465254415811632,0.054363097639815366,2.053113521340071,0.032209355341112314,-14.569317534095985,0.13747165888217616
