,lambda,f,df,E,dE,F,dF
0,0.0,0.0,8.065490087349327e-10,432806680145001.25,402231695052282.2,0.0,4.778687151804026e-10
1,0.005,0.05777348798951554,0.0054621667268556235,11550833.953538304,1174522.7209616008,0.034229962690479794,0.003236255413614261
2,0.01,0.11893180485291754,0.0077713107533086325,1694002.5602326675,114056.19563430923,0.07046538792266763,0.004604390117317367
3,0.015,0.19118722679113986,0.010015538581991487,550226.8445825902,29605.966228514837,0.11327568868863606,0.005934062905269715
4,0.02,0.2662314463851878,0.011953306486339854,243606.2647981792,11299.152804623629,0.15773831205156338,0.007082162585190218
5,0.025,0.34616863537193243,0.013750285363319544,134929.37239739712,5616.780818401371,0.2050999495745508,0.008146846786458413
6,0.03,0.43166273440052194,0.015545412587947375,83074.08486940622,3188.4923747331873,0.2557539765658913,0.00921043391027594
7,0.035,0.5209817468332503,0.01732647967186814,54190.211923013754,1903.5364820508285,0.3086742098687106,0.01026569060246169
8,0.04,0.6117981810219746,0.018991124943038434,36689.19864593147,1156.6297785642798,0.362481644076709,0.011251969041031705
9,0.045,0.7026153389915839,0.020440393185601074,25836.587650571193,727.1882201951578,0.41628950711449697,0.012110639680415968
10,0.05,0.7933150562691811,0.021665453354940443,18951.26504401742,483.2702130337456,0.4700277882273256,0.01283647025338898
11,0.055,0.8843153171448854,0.02271841439816,14388.600952062132,338.0996830733073,0.5239441371097848,0.013460334563441976
12,0.06,0.9758566302132854,0.02365381365105105,11210.66853132522,245.52311860544248,0.5781810516533122,0.014014545199520827
13,0.065,1.0679488102568353,0.024505514686888198,8917.19758120935,183.79362147187263,0.6327443469756879,0.014519165842910738
14,0.07,1.16061784269926,0.025293837139648178,7227.181572416912,141.32910655646447,0.6876494190676259,0.01498623558519354
15,0.075,1.2540103069674338,0.026034240829097225,5959.898049751343,111.09783545613294,0.7429831141364038,0.015424914147760748
16,0.08,1.3483166483508597,0.026738774420354022,4989.918989556072,88.8753094756376,0.7988582682835126,0.01584234019181899
17,0.085,1.443673515084802,0.02741539690373891,4230.93530555881,72.16938815180424,0.8553558436276955,0.0162432293049362
18,0.09,1.5401312007140167,0.028068824381677994,3624.9006719750737,59.41823026246793,0.9125056383726005,0.01663037571013244
19,0.095,1.6376659058050116,0.02870221525245407,3132.5669633081043,49.54548848063328,0.9702935516953617,0.017005650713073063
20,0.1,1.7361974949627061,0.02931823795278773,2726.61893254714,41.776661375031985,1.0286721045241891,0.017370635324227866
21,0.105,1.8355996104270886,0.029919225484944224,2387.5094603306297,35.55895742825052,1.0875664316992777,0.017726711813964707
22,0.11,1.9357083884580621,0.03050692632423338,2101.0588894524994,30.503124487849085,1.1468794463057632,0.01807491612881726
23,0.115,2.0363363631518503,0.031082339661753958,1856.9121175974306,26.33380552771955,1.206500077485449,0.018415840275174983
24,0.12,2.1372904407807347,0.03164576748687867,1647.4046730062353,22.853428433638374,1.266313919975202,0.018749663177408216
25,0.125,2.2383886038238128,0.03219699182334664,1466.716370929231,19.91913135193444,1.3262131310055039,0.019076255687709955
26,0.13,2.3394713463191295,0.03273547321486072,1310.2833289395783,17.427307445130907,1.3861032055825138,0.01939529818596434
27,0.135,2.4404071591409426,0.03326053350406214,1174.4210102634936,15.301769253849848,1.4459062264361433,0.019706388873666606
28,0.14,2.5410934696906757,0.03377152468674458,1056.0904269522819,13.484535866733971,1.5055614207734642,0.020009143817622185
29,0.145,2.64145464845676,0.034267981260174954,952.7474903693089,11.929326694660887,1.5650239791940164,0.02030328721414083
30,0.15,2.7414380451047897,0.0347497371337063,862.2386924320602,10.597489534339703,1.6242627071301,0.020588720656897305
31,0.155,2.8410085725757153,0.03521698518679414,782.726053549864,9.455704149441319,1.6832568160026626,0.02086555842420155
32,0.16,2.9401423957238375,0.03567027058005373,712.6335181613794,8.474805481683752,1.7419921838298684,0.02113412351589605
33,0.165,3.0388204932235325,0.03611042679762723,650.6089820395453,7.629242159679383,1.800457540749206,0.021394909759376066
34,0.17,3.137022913123724,0.03653847541479965,595.4963052878521,6.896841622774832,1.8586410655159367,0.02164852242334024
35,0.17500000000000002,3.234724355665458,0.0369555133885278,546.3126390273756,6.258669413931535,1.9165277683858848,0.021895611439046177
36,0.18,3.331891404713623,0.03736260781321113,502.22811518629845,5.698862606878406,1.9740978507784575,0.022136809044614694
37,0.185,3.42848142653642,0.037760711590246,462.54656628164724,5.2043876978254335,2.0313260528192787,0.02237267982045076
38,0.19,3.5244429318509134,0.038150606993530685,426.6869872199817,4.7647205309537055,2.0881818678469863,0.02260368725261491
39,0.195,3.619717064515978,0.03853287869517496,394.1659428110523,4.371472885202262,2.144630424442441,0.022830177750943214
40,0.2,3.714239823250443,0.03890791364780536,364.5812677833418,4.018001362546412,2.2006338027648495,0.02305238057931484
41,0.20500000000000002,3.8079446234060796,0.03927592232086624,337.59737865837025,3.6990333420887658,2.2561525523655037,0.023270420437855717
42,0.21,3.9007648490716615,0.03963697417027135,312.93242128470337,3.41033658006926,2.3111472042728174,0.023484338478198172
43,0.215,3.992636118598041,0.039991039847351,290.34736288825,3.1484478973498287,2.3655796132834293,0.023694117311676522
44,0.22,4.083498076521373,0.0403380333882824,269.63702456373153,2.910465420387937,2.419414019651001,0.023899706005959177
45,0.225,4.173295619272293,0.04067784918048882,250.62294923147402,2.6938998149458793,2.472617775301319,0.02410104198710978
46,0.23,4.261979548955939,0.04101039050240886,233.1479178945856,2.496573905502075,2.525161731187576,0.02429806794899097
47,0.23500000000000001,4.349506718846257,0.04133558843881539,217.07186939113092,2.3165575669454834,2.577020323493663,0.024490743060319488
48,0.24,4.435839779719506,0.04165341164070644,202.2689497140108,2.1521256320483824,2.6281714233404045,0.02467904874726146
49,0.245,4.5209466560708,0.041963868514714314,188.62541661482146,2.0017296468140464,2.6785960264513804,0.024862989990625906
50,0.25,4.604799878376928,0.042267003963890985,176.03814949518923,1.8639779239771808,2.7282778575282265,0.02504259339482685
51,0.255,4.6873758778690515,0.042562892862817156,164.41355604270566,1.7376210459491555,2.7772029524135724,0.02521790332197904
52,0.26,4.768654321207791,0.0428516321978958,153.66671682043747,1.6215412008090058,2.8253592638955833,0.025388977235134665
53,0.265,4.848617531204798,0.04313333338742636,143.72065878051387,1.514743863198507,2.8727363184937977,0.025555881148037494
54,0.27,4.927250011946446,0.043408115831603235,134.50569212642412,1.416350141912556,2.9193249351017294,0.02571868580358954
55,0.275,5.004538075736516,0.04367610229228803,125.9587784038822,1.3255882370622225,2.9651170039557617,0.025877463936432393
56,0.28,5.0804695562705895,0.04393741630578537,118.02292009174622,1.2417830596467119,3.0101053166950913,0.026032288740054026
57,0.28500000000000003,5.155033586628903,0.04419218151059323,110.64657436065906,1.164343949657729,3.054283434825679,0.026183233468490504
58,0.29,5.228220420199344,0.044440522534417964,103.78309846590835,1.0927512270808233,3.0976455836196926,0.026330371961869662
59,0.295,5.300021275422157,0.04468256694291169,97.3902342776197,1.0265427562396177,3.1401865601289773,0.02647377980101005
60,0.3,5.370428189525374,0.04491844769516174,91.4296372438535,0.965301724311096,3.181901646525393,0.02661353576226319
61,0.305,5.439433871053588,0.045148305573153774,85.86645238473417,0.9086465240026531,3.22278652272623,0.026749723256935625
62,0.31,5.507031545431445,0.04537229113568453,80.66893762641669,0.8562231621018853,3.2628371748927947,0.02688243148895418
63,0.315,5.573214791865404,0.0455905658691965,75.80813312750996,0.8077001570620843,3.3020497987970385,0.027011756136719002
64,0.32,5.637977373511653,0.045803302350657174,71.25757408629212,0.7627655504871985,3.340420699198492,0.02713779944960716
65,0.325,5.701313065914567,0.04601068338206179,66.99304362063569,0.7211254814678482,3.3779461881965056,0.027260669735177965
66,0.33,5.763215491045486,0.0462129001797619,62.99236154877271,0.682503746655694,3.414622486900612,0.02738048028637611
67,0.335,5.823677965613571,0.046410149801056046,59.23520426614028,0.646641849025516,3.450445635556882,0.027497347856823562
68,0.34,5.882693372512806,0.04660263205041322,55.70295049969325,0.6132991718316532,3.4854114173821182,0.02761139082780138
69,0.34500000000000003,5.940254063299749,0.04679054613372786,52.37854762759593,0.5822530557205295,3.519515300783322,0.02772272722594378
70,0.35000000000000003,5.996351797631018,0.04697408731911739,49.24639353087948,0.5532986757687122,3.552752403475274,0.027831472744808596
71,0.355,6.05097772294466,0.047153443830903356,46.29222956910318,0.5262486973931952,3.585117480442035,0.027937738904605672
72,0.36,6.10412239474244,0.047328794154080756,43.503041149969256,0.500932735136188,3.6166049359539114,0.02804163145513361
73,0.365,6.155775835015461,0.04750030486869217,40.86696336010915,0.47719665421499124,3.6472088581837987,0.02814324909267752
74,0.37,6.205927623979079,0.047668129079959626,38.373190104605186,0.45490175264900073,3.6769230735587985,0.028242682529884683
75,0.375,6.254567018556051,0.0478324054598571,36.011886055631265,0.4339238521553953,3.7057412169597894,0.028340013927909986
76,0.38,6.301683090057104,0.04799325787535382,33.77410136656964,0.4141523163213082,3.7336568132951826,0.028435316676155436
