,lambda,f,df,E,dE,F,dF
0,0.0,0.0,0.0,-0.1874234254770215,0.11063548786369454,0.0,0.0
1,0.005,-0.0004989282044824961,0.00022095451756458116,-0.30725263026675975,0.10849139914626021,-0.00029560780245366534,0.000130912381366019
2,0.01,-0.0012392409486654543,0.000437697022271511,-0.426783228714271,0.10649423361716773,-0.000734232481255612,0.00025932920554851824
3,0.015,-0.0022203763973438484,0.0006504781321300296,-0.5460551056470422,0.10463260235540967,-0.0013155411571081639,0.00038539896012206504
4,0.02,-0.003441851853581923,0.0008595300178762026,-0.6651068628471393,0.10289606652948442,-0.0020392478390026995,0.0005092592029165551
5,0.025,-0.0049032612566168865,0.0010650679237367896,-0.7839759035261409,0.1012750724922042,-0.0029051119417634894,0.0006310374630479846
6,0.03,-0.006604272846703729,0.0012672915672694983,-0.9026985134129575,0.09976088851817487,-0.003912936902501758,0.0007508520703037157
7,0.035,-0.008544626990205195,0.0014663864263793813,-1.0213099385727844,0.09834554364455311,-0.005062568892012697,0.0008688129176812253
8,0.04,-0.010724134158432541,0.001662524921361908,-1.1398444600765174,0.09702176899424582,-0.006353895617267613,0.0009850221617316648
9,0.045,-0.013142673054029608,0.0018558674995346187,-1.2583354656430004,0.09578294187543843,-0.007786845211323376,0.001099574865188553
10,0.05,-0.01580018887890322,0.002046563629681488,-1.3768155183780237,0.09462303287113769,-0.009361385207096033,0.0012125595861617925
11,0.055,-0.018696691737969395,0.0022347527131820095,-1.4953164227326425,0.09353655605689885,-0.011077521591603334,0.0013240589179685798
12,0.06,-0.02183225517325571,0.002420564918327032,-1.6138692878074323,0.0925185224171056,-0.012935297937441428,0.0014341499834535675
13,0.065,-0.025207014823078744,0.0026041219439399397,-1.732504588119582,0.0915643964724116,-0.014934794608366728,0.001542904887423456
14,0.07,-0.028821167201365405,0.002785537718044386,-1.8512522219603085,0.09067005608023308,-0.017076128036061313,0.0016503911305976026
15,0.075,-0.032674968592332654,0.0029649190369420357,-1.9701415674572758,0.08983175533022976,-0.019359450065246524,0.0017566719882524133
16,0.08,-0.036768734056022545,0.003142366149692645,-2.0892015364580345,0.08904609042493192,-0.02178494736447675,0.0018618068565174036
17,0.085,-0.041102836540429344,0.0033179732926334844,-2.2084606263491082,0.08830996841123605,-0.02435284090008747,0.0019658515690702885
18,0.09,-0.045677706096143744,0.003491829178229083,-2.3279469699206743,0.08762057861146924,-0.027063385470883237,0.0020688586867734404
19,0.095,-0.05049382918970036,0.0036640174422145717,-2.4476883833832375,0.08697536659169555,-0.029916869301305906,0.0021708777625999054
20,0.1,-0.05555174811199759,0.003834617052682927,-2.567712412640688,0.08637201049896334,-0.03291361369093191,0.0022719555840117257
21,0.105,-0.060852060478363335,0.00400370268447458,-2.6880463779158816,0.08580839959750651,-0.036053972718268344,0.0023721363947804097
22,0.11,-0.0663954188170619,0.0041713450619486675,-2.808717416829211,0.08528261483508773,-0.03933833299694923,0.002471462098073981
23,0.115,-0.07218253024320109,0.004337611272958609,-2.9297525260192714,0.08479291127547685,-0.042767113482530136,0.0025699724424830045
24,0.12,-0.07821415621519012,0.004502565056613756,-3.05117860139336,0.08433770223865572,-0.046340765328193,0.002667705192515231
25,0.125,-0.08449111237106788,0.0046662670671847725,-3.1730224770925446,0.08391554499850219,-0.050059771787772954,0.002764696284955752
26,0.13,-0.0910142684422075,0.004828775116303998,-3.29531096325249,0.08352512789565032,-0.05392464816462954,0.0028609799723672375
27,0.135,-0.09778454824201699,0.004990144395421139,-3.4180708826346518,0.08316525873287904,-0.057935941804951964,0.0029565889548917434
28,0.14,-0.10480292972745797,0.0051504276802983385,-3.541329106200237,0.08283485432943766,-0.062094232134208116,0.0030515545014111046
29,0.145,-0.11207044513129372,0.005309675519167646,-3.6651125876956456,0.08253293112011661,-0.0664001307354996,0.003145906561027536
30,0.15,-0.11958818116317804,0.00546793640602567,-3.789448397314075,0.08225859669422265,-0.07085428146870398,0.003239673865738228
31,0.155,-0.12735727927772356,0.005625256940404096,-3.914363754492669,0.08201104217865367,-0.0754573606293015,0.0033328840250970867
32,0.16,-0.13537893600793094,0.0057816819748314095,-4.039886059902969,0.08178953537727728,-0.080210077145927,0.003425563613583689
33,0.165,-0.14365440336235036,0.005937254751088386,-4.166042926688078,0.08159341458740506,-0.08511317281568241,0.003517738251332704
34,0.17,-0.1521849892845344,0.006092017026255006,-4.29286221099197,0.08142208302131579,-0.09016742257635607,0.003609432678814883
35,0.17500000000000002,-0.16097205817340576,0.006246009189455446,-4.420372041833289,0.0812750037681369,-0.09537363481473309,0.0037006708260067913
36,0.18,-0.170017031463229,0.006399270370119791,-4.548600850356465,0.08115169523722618,-0.1007326517102202,0.0037914758765343177
37,0.185,-0.17932138826201527,0.00655183853850479,-4.677577398506884,0.08105172703098762,-0.10624534961309157,0.0038818703272297836
38,0.19,-0.18888666604718285,0.006703750599145522,-4.807330807156518,0.08097471619936233,-0.11191263945665753,0.003971876043500711
39,0.195,-0.19871446141743565,0.006855042477845247,-4.937890583716424,0.08092032383456327,-0.1177354672027419,0.004061514310870062
40,0.2,-0.2088064308998474,0.007005749202753006,-5.069286649260661,0.08088825196742308,-0.12371481431986775,0.004150805883013553
41,0.20500000000000002,-0.21916429181115316,0.0071559049800257206,-5.201549365183183,0.08087824073236731,-0.12985169829356027,0.004239771026588368
42,0.21,-0.22978982317238472,0.007305543264523727,-5.3347095594109675,0.08089006577033968,-0.13614717316825511,0.004328429563119236
43,0.215,-0.24068486667592293,0.007454696825945096,-5.468798552185632,0.08092353584302871,-0.14260233012026302,0.004416800908182082
44,0.22,-0.25185132770413343,0.00760339781076503,-5.603848181427637,0.08097849063459013,-0.14921829806129694,0.004504904108102219
45,0.225,-0.263291176398746,0.007751677800310519,-5.73989082769009,0.08105479871893007,-0.15599624427206382,0.004592757874362755
46,0.23,-0.2750064487801547,0.007899567865267864,-5.876959438708269,0.0811523556742581,-0.16293737506543396,0.004680380615899518
47,0.23500000000000001,-0.28699924791583076,0.008047098616891927,-6.015087553542742,0.08127108232712539,-0.17004293647870902,0.004767790469441796
48,0.24,-0.2992717451370135,0.008194300255157706,-6.154309326314419,0.08141092311124254,-0.17731421499449357,0.004855005328041462
49,0.245,-0.3118261813028633,0.008341202614071612,-6.294659549525264,0.08157184452741593,-0.18475253828968802,0.004942042867919252
50,0.25,-0.32466486811121253,0.008487835204336689,-6.436173676948556,0.0817538336922411,-0.19235927601208935,0.005028920573743295
51,0.255,-0.33779018945505523,0.008634227253546019,-6.578887846077947,0.08195689696481735,-0.20013584058409212,0.005115655762443129
52,0.26,-0.35120460282384247,0.00878040774405949,-6.722838900113544,0.08218105864183264,-0.20808368803293562,0.005202265605651146
53,0.265,-0.3649106407486391,0.008926405448702207,-6.868064409457318,0.08242635971172574,-0.21620431884693858,0.005288767150853382
54,0.27,-0.37891091229011753,0.009072248964407234,-7.0146026926948934,0.08269285666058634,-0.22449927885711418,0.005375177341322364
55,0.275,-0.393208104568326,0.009217966743909988,-7.162492837023706,0.08298062032205035,-0.2329701601435358,0.0054615130348955815
56,0.28,-0.40780498433306445,0.009363587125589568,-7.311774718095478,0.08328973476485145,-0.24161860196576215,0.005547791021656049
57,0.28500000000000003,-0.4227043995736883,0.00950913836153843,-7.4624890192242646,0.08362029621220575,-0.25044629171662286,0.00563402804056318
58,0.29,-0.43790928116689987,0.009654648643930811,-7.614677249914109,0.08397241198702754,-0.25945496589851136,0.005720240795075705
59,0.295,-0.45342264456125836,0.009800146129750224,-7.768381763654759,0.08434619947854746,-0.2686464111214329,0.0058064459678023525
60,0.3,-0.46924759149675754,0.009945658963924804,-7.923645774924438,0.08474178512514466,-0.27802246512182943,0.005892660234209217
61,0.305,-0.48538731175785,0.010091215300910953,-8.080513375336807,0.08515930340930922,-0.28758501780122164,0.00597890027540775
62,0.31,-0.5018450849581191,0.010236843324756256,-8.239029548861822,0.08559889586052392,-0.29733601228360124,0.006065182790041757
63,0.315,-0.5186242823546552,0.01038257126766402,-8.399240186047578,0.0860607100624275,-0.3072774459904229,0.0061515245052866175
64,0.32,-0.5357283686900454,0.010528427427074397,-8.561192097160898,0.08654489866052699,-0.3174113717319568,0.006237942186969605
65,0.325,-0.5531609040596992,0.010674440181268563,-8.724933024161032,0.08705161836706718,-0.3277398988136523,0.006324452648815142
66,0.33,-0.5709255458020719,0.010820638003495758,-8.89051165141241,0.08758102895990251,-0.338265194156068,0.006411072760814861
67,0.335,-0.5890260504091485,0.010967049474615279,-9.057977615042816,0.08813329227247779,-0.3489894834268063,0.006497819456717815
68,0.34,-0.6074662754543398,0.01111370329423999,-9.227381510838299,0.08870857117177727,-0.35991505218276404,0.006584709740632839
69,0.34500000000000003,-0.6262501815347372,0.011260628290359693,-9.398774900566863,0.08930702852174169,-0.3710442470208905,0.006671760692730261
70,0.35000000000000003,-0.6453818342244739,0.011407853427418945,-9.572210316615354,0.08992882612954667,-0.38237947673552625,0.006758989474027896
71,0.355,-0.6648654060355517,0.01155540781281452,-9.747741264817947,0.09057412367239415,-0.39392321348016424,0.006846413330240694
72,0.36,-0.6847051783825391,0.011703320701776017,-9.925422225347347,0.09124307760254109,-0.40567799393150616,0.006934049594672433
