,lambda,f,df,F,dF
0,0.0,0.0,0.0,0.0,0.0
1,0.05,0.07185034248333544,0.0011728788943805375,0.04257029700109321,0.000694913916265239
2,0.1,0.298259950818327,0.002702234887319086,0.17671474137805965,0.0016010353986352906
3,0.15,0.696495438261735,0.004765952310889249,0.4126635537413825,0.0028237583615507264
4,0.2,1.264918421702573,0.007671045564249403,0.7494460156055872,0.004544984431420851
5,0.25,1.9540655209871503,0.011806509703019708,1.1577557839381547,0.006995187597336915
6,0.3,2.640137954124599,0.01707777034938591,1.5642438566943533,0.010118333897412377
7,0.35,3.181590150397204,0.022178769090649784,1.885046514142577,0.013140602461659937
8,0.4,3.5396745752393635,0.02594212755460433,2.0972063980085713,0.0153703383542798
9,0.45,3.7588558936660057,0.028503981891105774,2.2270681843275084,0.016888200290758385
10,0.5,3.884617104305459,0.03033215599647759,2.3015798971892845,0.017971367217254758
11,0.55,3.944970210360724,0.031727717514703074,2.3373382465709454,0.018798217393061985
12,0.6,3.9559686086538317,0.03285622754432219,2.343854639752822,0.0194668433935677
13,0.65,3.9268099575597404,0.03380693905338674,2.326578557352594,0.02003012632172663
14,0.7,3.8633694080516676,0.03462439967274437,2.28899094202428,0.020514460009639433
15,0.75,3.770469096207572,0.03533402285699711,2.233948840205286,0.020934901564521477
16,0.8,3.6525376261258877,0.03595745971989448,2.16407613628161,0.021304278960615673
17,0.85,3.5133679099663624,0.03651562915845744,2.0816200762865873,0.02163498634425925
18,0.9,3.355991482004308,0.0370285863165563,1.9883768007813987,0.021938906100440924
19,0.95,3.1828079609483755,0.037516647642616925,1.8857680494208042,0.022228075433349353
20,1.0,2.9957445393587356,0.038001973094978714,1.7749356561450358,0.022515623800345975
