,lambda,f,df,F,dF,E,dE
0,0.0,0.0,0.0,0.0,0.0,3.544699551799557e+17,3.582342721585181e+17
1,0.05,1.473633395447382,0.03425618964626403,0.8731066428733366,0.02029630085208658,31709.720080419305,1057.8764173439895
2,0.1,2.9444563083156865,0.04499346394432036,1.7445481151438265,0.02665798181354445,3944.6673120472487,133.57391184500352
3,0.15,4.28695997933444,0.05174743612781722,2.5399622777636006,0.03065961342518595,1091.9515816313597,29.7073712777738
4,0.2,5.4638339452568365,0.05623910909835523,3.2372432165954614,0.033320865212982706,421.8571987841013,10.769087912077149
5,0.25,6.456992599948049,0.05951579856753482,3.825675469499713,0.03526225670900351,180.20694769152047,5.6019472562493355
6,0.3,7.255389449614159,0.0618663980173679,4.298714147400329,0.03665495315625022,91.09010296136844,2.891151460802532
7,0.35,7.867226589903317,0.06361216549535015,4.66121887428385,0.037689295338401825,45.47892058081714,1.9189439206802144
8,0.4,8.287194965528027,0.06497852030460369,4.910044111067616,0.03849884095820574,22.884981539133214,1.1414677736733352
9,0.45,8.508319997796704,0.06605028184321736,5.041057519949239,0.039133844292027216,5.830200335927776,0.7574601682276443
10,0.5,8.530023177384738,0.06689420903053242,5.053916342454434,0.039633859041708214,-3.635680988624786,0.4796980345710724
11,0.55,8.356440961745353,0.0675653026290483,4.951071370273677,0.04003147236986986,-8.504700364302524,0.3327945937002064
12,0.6,7.997788537369497,0.06809788320139849,4.738574954833717,0.040347018717435554,-12.857483099988253,0.32131233588889657
13,0.65,7.472600057353298,0.0685175774425165,4.427408315912994,0.040595681533457426,-15.535892629946424,0.24751631111323877
14,0.7,6.808989540436481,0.06884752089942184,4.034228606230329,0.04079116829759199,-17.45794283297785,0.18706063056222932
15,0.75,6.045872959231185,0.06910819923144758,3.582092981185773,0.04094561646906256,-18.76136457212981,0.15000568658733723
16,0.8,5.234522910027295,0.06931566042832489,3.101379718413615,0.04106853425152571,-19.72497854351518,0.120304558326282
17,0.85,4.440239164922255,0.06948022104162666,2.6307779959499458,0.04116603405376482,-20.581312159349444,0.11538037425961692
18,0.9,3.7437679391270864,0.06960573821029105,2.2181287877475997,0.04124040117525793,-20.95527586766224,0.10325649803929127
19,0.95,3.242038905569758,0.069689139717698,1.9208615342538427,0.041289815371738293,-21.267723889981827,0.12603714005674208
20,1.0,3.0475507855374255,0.06972032625830103,1.8056301136815478,0.04130829294957609,-21.388082642100628,0.09437644147646894
