,lambda,f,df,E,dE,F,dF
0,0.0,0.0,0.0,125364001700756.25,83619959046377.11,0.0,0.0
1,0.005,0.17401230718745175,0.009864785609911428,31930756.92030824,2085469.387607478,0.10309979525196279,0.005844743932340197
2,0.01,0.32082219047874183,0.013777241283040404,3633774.8721119286,185586.47744559354,0.19008254465020788,0.008162817782125147
3,0.015,0.4684912086862809,0.01710806145532671,1105113.507119869,49129.03221283621,0.2775743191593244,0.010136280943060636
4,0.02,0.616604246799227,0.020252785284150445,467939.1850578803,19618.34900382089,0.36532916909152546,0.01199948469063485
5,0.025,0.7632446363178582,0.023307632375312262,235741.28783853244,9361.563639336378,0.45221149586139414,0.01380943776071028
6,0.03,0.9066179235491791,0.026141557518076286,134748.23209165223,5049.777829956868,0.5371581114029411,0.015488497746183707
7,0.035,1.0488409439396928,0.02874444690480816,85273.59752880789,2942.062619804663,0.6214232103455236,0.017030672361146314
8,0.04,1.1913855160285944,0.031092210015441196,57587.26506264247,1773.7544693389916,0.7058788240557254,0.018421688318113246
9,0.045,1.334181485954268,0.03311646050293745,40678.41233509672,1106.3077590920666,0.7904833873771181,0.019621027687682847
10,0.05,1.476853418396752,0.034811211879351794,29740.151228041632,725.2374986331104,0.8750144602694306,0.020625143561642714
11,0.055,1.61894567245068,0.03623704608615787,22331.717361830506,501.6154666271056,0.9592020820338427,0.02146992987107653
12,0.06,1.7599742190800551,0.037471944346109794,17137.375512351566,362.61652874070234,1.0427594724114524,0.022201589371578973
13,0.065,1.8996171063574385,0.03857714997227163,13412.097372178516,271.38250365016427,1.1254958795046706,0.02285640784741158
14,0.07,2.0378841237497864,0.03959401542807565,10698.005342129372,208.76982049637027,1.2074171034322079,0.02345888603982617
15,0.075,2.175058922969103,0.04055024402586704,8687.025883829585,163.98849500079075,1.2886912037635463,0.024025437763895676
16,0.08,2.3114906735481915,0.04146308816406892,7165.503175585693,130.71058118223212,1.3695250584369312,0.024566284818145614
17,0.085,2.4474265056230937,0.04234071044543931,5987.878354561748,105.28137446432375,1.4500650885121042,0.025086263427591765
18,0.09,2.582964798488593,0.043184498969007244,5057.48785051384,85.56297144591444,1.5303695823096628,0.02558619602099217
19,0.095,2.7180983923277964,0.04399261875349378,4310.353020582268,70.19934414766936,1.6104342977408275,0.026064995398267652
20,0.1,2.8527777816917386,0.04476336398484776,3702.8507820857753,58.21253843499588,1.690229903537399,0.026521650889068202
21,0.105,2.986949620338965,0.0454970507867889,3203.792223282931,48.82410752203737,1.7697247928167361,0.02695634979216196
22,0.11,3.1205643475684965,0.04619625909893196,2789.926541474631,41.402052003536184,1.848889601574613,0.027370620684753277
23,0.115,3.2535661302670817,0.04686500415572039,2443.50715625746,35.45086140769312,1.9276912494925311,0.027766842535638665
24,0.12,3.385880680049274,0.04750761082861669,2150.9007292074975,30.600783554607137,2.006085721768015,0.02814757776910571
25,0.125,3.5174101988500315,0.04812784318298923,1901.6510216029544,26.58599725901727,2.0840150744507495,0.028515056539877754
26,0.13,3.648036870910854,0.04872848349159169,1687.7437401467655,23.218373595926725,2.161409503394263,0.02887092730464085
27,0.135,3.777631662451194,0.04931129555996649,1503.0031294584976,20.36440287052139,2.2381925579349784,0.029216235092871516
28,0.14,3.906064348373624,0.04987721349042649,1342.61286121982,17.927595264718487,2.3142870815711607,0.02955153334678748
29,0.145,4.033212001369698,0.05042661141195835,1202.7558309546166,15.83589314584422,2.3896202416363366,0.02987704373244527
30,0.15,4.158964870741112,0.050959561531855324,1080.3549097263617,14.03333883274094,2.4641270124164816,0.03019280903163009
31,0.155,4.283229651013,0.051476037174922315,972.8897463539305,12.47500358235218,2.5377521117564994,0.030498813439671594
32,0.16,4.405930521330593,0.051976049580894,878.2669808177884,11.123934802099791,2.6104506168878285,0.03079506361595131
33,0.165,4.527008420852967,0.05245972286609492,794.7275787946787,9.94919514091565,2.6821875351096374,0.031081633097610674
34,0.17,4.646419082743451,0.05292731826133737,720.7802298479393,8.924598199271633,2.752936638956345,0.031358676660157805
35,0.17500000000000002,4.764130375032625,0.053379222330791225,655.1528006939457,8.027967430503903,2.8226788906971056,0.03162642333731686
36,0.18,4.88011942954636,0.05381591546621892,596.7559295944674,7.240692420958948,2.8914007412668634,0.03188515775431435
37,0.185,4.9943699108181505,0.05423793567500851,544.6547240464848,6.547332089292828,2.9590925121360976,0.03213519867280827
38,0.19,5.1068696518279335,0.05464584858784452,498.0460098451781,5.935129729601148,3.025746994519996,0.032376881220863456
39,0.195,5.217608781286,0.055040228997976524,456.2394867569102,5.39345886265579,3.09135833982104,0.03261054595523304
40,0.2,5.326578369771791,0.05542165374427354,418.6416637549485,4.913298402502705,3.15592125748567,0.032836534644670345
41,0.20500000000000002,5.433769527822015,0.05579070174737016,384.7418553215765,4.486823203027544,3.2194304806344323,0.033055190291344926
42,0.21,5.539172826747544,0.05614795537313022,354.0999002066513,4.107139365700574,3.2818804229043033,0.03326685793867522
43,0.215,5.642777909702378,0.056493998129904986,326.3355278366616,3.7681422453168465,3.34326494801263,0.03347188330698707
44,0.22,5.744573211856556,0.056829406266793094,301.1193713609424,3.4644508662455644,3.4035772039635948,0.03367060781560332
45,0.225,5.844545780028046,0.057154734857037474,278.16554450801567,3.1913736721404216,3.462809516182697,0.03386336033745612
46,0.23,5.942681234141615,0.057470501237383634,257.2255680005303,2.9448753321148837,3.5209533646816897,0.03405044738714435
47,0.23500000000000001,6.038963923515748,0.057777169588508766,238.0833459912112,2.721531121700528,3.577999476656333,0.03423214398505911
48,0.24,6.13337730282252,0.058075140013041114,220.55089188130077,2.518467443156174,3.6339380492372273,0.0344086871862669
49,0.245,6.225904504651375,0.05836474416914068,204.4645697401422,2.3332928264434574,3.6887590887256336,0.03458027349346882
50,0.25,6.3165290402568495,0.05864624794476071,189.6817115710263,2.1640249893132433,3.742452825776448,0.034747060441462196
51,0.255,6.40523553297337,0.0589198602882391,176.07755459321064,2.0090187334379737,3.795010149935946,0.03490917182913918
52,0.26,6.49201038538822,0.059185746402751996,163.54249641455996,1.866898297545282,3.84642300493219,0.035066705537011286
53,0.265,6.576842298439301,0.05944404312794659,151.97968674213095,1.736496840130188,3.8966846962330077,0.03521974264060609
54,0.27,6.659722590160861,0.05969487439261651,141.3029703258738,1.6168049045712993,3.9457900798982615,0.03536835656595564
55,0.275,6.740645295037943,0.05993836499372542,131.43517895693938,1.5069288643733825,3.993735621445933,0.035512621253470315
56,0.28,6.819607054863589,0.06017465148821916,122.3067508394768,1.4060594556445005,4.040519331186584,0.03565261761118119
57,0.28500000000000003,6.896606834507946,0.06040388954766989,113.85464004208929,1.3134497034635388,4.086140595820629,0.03578843787226116
