,lambda,f,df,F,dF,E,dE
0,0.0,0.0,0.0,0.0,0.0,-3.252254126390885,0.24910589832031244
1,0.1,-0.20978972896102022,0.004885439189784977,-0.12429740431259374,0.0028945526228794675,-6.918683871805261,0.2635190824137042
2,0.2,-0.559680845037084,0.00879436902914664,-0.33160287029358987,0.005210537466746515,-10.640257413358208,0.2748263719408072
3,0.3,-1.0582524721877817,0.012296043459512197,-0.6269994057943936,0.007285229324149553,-14.389333990633718,0.29431689460219185
4,0.4,-1.7256648905735474,0.015686541356313154,-1.0224316875471164,0.00929405068059437,-18.368356493531916,0.3202737790959101
5,0.5,-2.5974632383980296,0.019203780902543745,-1.5389596999300537,0.011377964645816653,-24.493860632077094,0.3949059173974573
6,0.6,-3.73037299777115,0.023074941441663138,-2.210192477186983,0.013671571721210158,-31.871914985056765,0.40886418965140287
7,0.7,-5.20486430340487,0.027445303534569112,-3.0838074195362912,0.016260948554597938,-41.66394634132297,0.5731602378420863
8,0.8,-7.114311084310145,0.03223199938874564,-4.215127240172802,0.019096997167914676,-54.37459280558138,0.6616820806281972
9,0.9,-9.540693299135011,0.03718161780505489,-5.652723888333829,0.022029575061655902,-66.97659684952,0.6704476379021754
10,1.0,-12.538961523450475,0.04256441907015863,-7.429154791605488,0.025218807577930595,-81.39732192498124,0.7026937712822765
