,lambda,f,df,E,dE,F,dF
0,0.0,0.0,0.0,-3.036106124293468,0.1369744800852612,0.0,0.0
1,0.005,-0.006294740918888486,0.00027403614982068636,-3.2056392646606184,0.13477869033413908,-0.0037295436764851666,0.0001623624868539547
2,0.01,-0.012931320296956983,0.0005437102587991251,-3.375072026400545,0.13268446238713816,-0.007661621735281236,0.00032214052709614207
3,0.015,-0.01990956210475847,0.0008091881489974421,-3.5444306435404656,0.1306879770842332,-0.011796129881466548,0.00047943236791912996
4,0.02,-0.027229343373391224,0.001070629274241552,-3.713741494773757,0.128785545446086,-0.016132995257731205,0.0006343324834269038
5,0.025,-0.034890594478897086,0.0013281869667105416,-3.883031096268951,0.12697360854788609,-0.020672176612878977,0.0007869317207355375
6,0.03,-0.04289329941297737,0.0015820086780247808,-4.052326095285935,0.12524873693761782,-0.025413664462222586,0.0009373174428144408
7,0.035,-0.05123749604160821,0.001832236214470202,-4.221653264562434,0.12360762962933787,-0.030357481240809576,0.0010855736678533692
8,0.04,-0.05992327635309458,0.0020790059660632573,-4.391039497440119,0.12204711270461432,-0.03550368145039079,0.0012317812049801246
9,0.045,-0.06895078669700005,0.0023224491292137372,-4.560511803696301,0.12056413755393068,-0.04085235180098279,0.0013760177861850808
10,0.05,-0.07832022801536453,0.0025626919227996815,-4.730097306050112,0.1191557787917943,-0.04640361134786107,0.0015183581943424673
11,0.055,-0.0880318560675235,0.0027998557975145956,-4.899823237313569,0.11781923187886534,-0.05215761162476224,0.0016588743872455922
12,0.06,-0.09808598164981497,0.003034057638394636,-5.069716938157995,0.11655181048460302,-0.058114536774057195,0.0017976356176012927
13,0.065,-0.10848297081136238,0.003265409960468074,-5.239805855466642,0.11535094362232114,-0.06427460367459946,0.001934708548949436
14,0.07,-0.11922324506711846,0.0034940210975122486,-5.4101175412482405,0.11421417258913912,-0.07063806206795055,0.002070157367498705
15,0.075,-0.13030728160925698,0.0037199953839298495,-5.580679652086417,0.11313914774180772,-0.0772051946836266,0.0022040438898856866
16,0.08,-0.14173561351797836,0.003943433329787663,-5.751519949102317,0.1121236251373482,-0.08397631736399765,0.0023364276668828166
17,0.085,-0.1535088299727274,0.0041644317890861355,-5.922666298404749,0.11116546306793935,-0.09095177918943109,0.002467366083095683
18,0.09,-0.16562757646480541,0.004383084121348407,-6.094146672012016,0.11026261851562347,-0.09813196260426132,0.002596914452702209
19,0.095,-0.1780925550122987,0.004599480346639798,-6.265989149222946,0.10941314355274494,-0.10551728354413183,0.0027251261112994744
20,0.1,-0.19090452437820282,0.004813707294141196,-6.438221918421505,0.10861518171124146,-0.11310819156523061,0.0028520525039313163
21,0.105,-0.20406430029262346,0.005025848744417596,-6.610873279299483,0.1078669643421962,-0.12090516997594108,0.0029777432693803957
22,0.11,-0.21757275567985523,0.0052359855655312185,-6.78397164548187,0.10716680698594458,-0.12890873597138292,0.0031022463208132726
23,0.115,-0.2314308208911715,0.005444195843161664,-6.957545547545152,0.10651310576995784,-0.13711944077133678,0.003225607922874723
24,0.12,-0.2456394839440641,0.005650555004899646,-7.131623636413082,0.1059043338515449,-0.14553786976199035,0.0033478727653299973
25,0.125,-0.260199790768727,0.0058551359388901575,-7.306234687127869,0.10533903791908274,-0.15416464264197635,0.0034690840333591938
26,0.13,-0.2751128454625036,0.006058009107003223,-7.48140760298196,0.10481583476500993,-0.16300041357312897,0.003589283474609303
27,0.135,-0.2903798105530413,0.006259242652714299,-7.657171420010513,0.10433340794182937,-0.1720458713363992,0.0037085114631117996
28,0.14,-0.30600190727085064,0.006458902503878975,-7.83355531183696,0.10389050451026567,-0.18130173949334213,0.003826807060175177
29,0.145,-0.32198041583200165,0.006657052470586033,-8.01058859486892,0.10348593188855143,-0.19076877655361046,0.003944208072361482
30,0.15,-0.33831667573164736,0.006853754338274987,-8.188300733846233,0.10311855480885809,-0.2004477761488631,0.004060751106657117
31,0.155,-0.3550120860491077,0.007049067956301628,-8.366721347738121,0.10278729238757059,-0.2103395672135229,0.0041764716229466614
32,0.16,-0.37206810576517135,0.0072430513221351835,-8.54588021599318,0.1024911153128976,-0.2204450141727734,0.004291403983898476
33,0.165,-0.3894862540923967,0.007435760661367648,-8.725807285144498,0.1022290431538753,-0.2307650171382576,0.004405581502369082
34,0.17,-0.40726811081906966,0.007627250503714691,-8.906532675775452,0.10200014179349151,-0.24130051211186784,0.0045190364864326135
35,0.17500000000000002,-0.4254153166675927,0.007817573755183329,-9.088086689848893,0.10180352098698507,-0.2520524711980862,0.004631800282139125
36,0.18,-0.4439295736680311,0.008006781766579948,-9.270499818413072,0.10163833204654404,-0.26302190282530546,0.0047439033141046085
37,0.185,-0.46281264554757584,0.00819492439852792,-9.453802749682325,0.1015037656528773,-0.2742098519765799,0.004855375124033005
38,0.19,-0.48206635813670573,0.00838205008316138,-9.638026377512972,0.10139904979295145,-0.28561740043027095,0.0049662444072688765
39,0.195,-0.5016925997928432,0.008568205882657413,-9.82320181027626,0.10132344782295792,-0.297245667011057,0.00507653904747689
40,0.2,-0.5216933218423172,0.008753437544766117,-10.009360380141715,0.10127625665538735,-0.3090958078517899,0.005186286149542584
41,0.20500000000000002,-0.5420705390414664,0.00893778955549347,-10.19653365278242,0.10125680506817102,-0.3211690166666924,0.005295512070786207
42,0.21,-0.5628263300577814,0.00912130518908904,-10.384753437517276,0.10126445213357219,-0.3334665250364275,0.005404242450579722
43,0.215,-0.5839628379719173,0.00930402655548615,-10.574051797897681,0.101298585765084,-0.34598960270553414,0.005512502238454424
44,0.22,-0.605482270801545,0.009485994645339179,-10.764461062756595,0.10135862137827584,-0.3587395578928013,0.005620315720784891
45,0.225,-0.6273869020479541,0.009667249372798706,-10.956013837729955,0.10144400066391585,-0.37171773761512256,0.005727706546132646
46,0.23,-0.6496790712663856,0.00984782961616143,-11.148743017266582,0.1015541904691529,-0.38492552802540986,0.005834697749330651
47,0.23500000000000001,-0.6723611846610993,0.010027773256529354,-11.342681797140472,0.10168868178381847,-0.3983643547651626,0.00594131177438832
48,0.24,-0.695435715706175,0.01020711721460787,-11.537863687472878,0.10184698882801746,-0.41203568333228313,0.006047570496293854
49,0.245,-0.7189052057931278,0.010385897485770512,-11.734322526287116,0.10202864823744927,-0.42594101946477986,0.0061534952417896015
50,0.25,-0.742772264906403,0.010564149173513879,-11.932092493598816,0.10223321834244246,-0.4400819095409883,0.006259106809193629
51,0.255,-0.7670395723278265,0.010741906521423433,-12.131208126059363,0.10246027853651327,-0.4544599409969474,0.00636442548733899
