,lambda,f,df,F,dF
0,0.0,0.0,0.0,0.0,0.0
1,0.05,0.17502944466633963,0.0022480518529950583,0.10370243461415153,0.0013319384674896119
2,0.1,0.7495554495228376,0.005168755931687311,0.4441008491000007,0.003062413727382369
3,0.15,1.749712745913662,0.009198872875053263,1.0366796967936338,0.005450200191559877
4,0.2,3.1093878868581015,0.015229744022607822,1.8422677089653618,0.009023404814575657
5,0.25,4.553294615964509,0.023939265039883927,2.6977617285546662,0.014183671051701818
6,0.3,5.675786665179025,0.03285940822894745,3.362822162017605,0.019468727903571188
7,0.35,6.34740479708344,0.03913347605863808,3.760746268685873,0.023186023071327437
8,0.4,6.677439559796648,0.043223982382730994,3.956287130201532,0.025609589377109113
9,0.45,6.775427677690773,0.04608098796101113,4.014343684104508,0.02730232418946403
10,0.5,6.715730071084227,0.048178578945971745,3.9789737087410013,0.028545116751479995
11,0.55,6.547887849097789,0.04980826586194776,3.879529600441263,0.02951068286618551
12,0.6,6.298897098241541,0.05116582452352454,3.7320061531183213,0.030315016894699485
13,0.65,5.981790960947137,0.052338296080183165,3.544125316661304,0.031009689469209036
14,0.7,5.6061786250215775,0.05335212923514439,3.3215803969716857,0.03161037106688221
15,0.75,5.182080632401391,0.05423281956623057,3.07030842137051,0.032132167451764095
16,0.8,4.718227165500172,0.055011177861073166,2.795481897675769,0.032593333573448194
17,0.85,4.221160053597719,0.05571058950378968,2.5009767658725233,0.03300772493648686
18,0.9,3.696011618401455,0.05635450026281909,2.189833852933042,0.033389232822276536
19,0.95,3.146778112136145,0.05697513747338605,1.8644208809616298,0.03375695146453483
20,1.0,2.5764342833535743,0.05761553100040229,1.5265003457930468,0.03413637544082251
