,lambda,f,df,E,dE,F,dF
0,0.0,0.0,0.0,1.587822770621131e+21,1.5872536999732196e+21,0.0,0.0
1,0.005,0.47108408487771847,0.017113460264149213,91657323.40131947,4001771.046833118,0.2791105610997461,0.01013947965982499
2,0.01,0.926295908836198,0.026658188966035144,11142367.696512254,446687.7732822026,0.5488170353425984,0.015794594466388128
3,0.015,1.3580350760701032,0.03592016555085211,3137782.013257173,128773.87997841269,0.8046162972655987,0.02128218270056081
4,0.02,1.7744115050600113,0.04540600652382506,1306642.8653844176,55425.7444366945,1.0513133572060727,0.026902407372673628
5,0.025,2.1902751163597998,0.055496074568397724,684847.0579075156,30303.671523991045,1.2977065800231413,0.03288062791516196
6,0.03,2.616293064097916,0.0664417199731017,408073.7160030222,17839.822688356497,1.5501161014838651,0.039365765767566376
7,0.035,3.0544145532121467,0.07736642292110021,267022.85240162944,10856.842398199571,1.8096967975463762,0.04583849551485853
8,0.04,3.50564693583018,0.08727345797988995,183542.59232376542,6053.849428889287,2.077045509892679,0.05170827163945723
9,0.045,3.9612561148771954,0.09449087467472563,129756.80481462547,3153.6947173226536,2.346987411324174,0.05598448747449051
10,0.05,4.415716547491311,0.09884232870681325,94558.5300564901,1766.1921158492803,2.616248696976575,0.05856266155313932
11,0.055,4.866096798729805,0.10141524585273873,70505.20430779501,1199.294218124298,2.883092533707019,0.06008707804547067
12,0.06,5.308710034927416,0.1032728351394033,53398.000094758994,946.9516083259182,3.145334525468123,0.06118767304482924
13,0.065,5.739467909103478,0.10506011202304417,40892.129412239105,786.8785645661561,3.4005523853341018,0.06224660895424995
14,0.07,6.1549649040716785,0.10705366336459274,31641.602573147702,654.0747941960143,3.6467283932349748,0.06342775952032184
15,0.075,6.553576347046475,0.10930021975747732,24780.052776303382,533.3475042891312,3.882899953856375,0.06475881194915309
16,0.08,6.935322443304702,0.11171382788435441,19658.517876794464,423.4227908919445,4.109079038534918,0.06618884013348973
17,0.085,7.300936889352321,0.11413853960203885,15785.463959200237,326.76703414481426,4.3257003519231905,0.06762544703606362
18,0.09,7.6512227914952335,0.11640507764259304,12812.867722762701,246.63674572887223,4.53323972298434,0.06896833830443923
19,0.095,7.986996596085246,0.11838578475444639,10505.706585482321,185.07434136885087,4.732180884467309,0.07014187884870776
20,0.1,8.309269996482907,0.12003004424636897,8701.805082690003,141.3590313996719,4.923123250172283,0.07111607900557194
21,0.105,8.619281100570412,0.12136329469264819,7281.234684637998,111.93751870335275,5.106800381254891,0.0719060107653003
22,0.11,8.91831971214647,0.12245636366715232,6151.432922332603,92.05589746360303,5.283976467959557,0.07255363844916436
23,0.115,9.207521107528144,0.1233889391999963,5241.611630700199,77.73276132950417,5.455324145215012,0.07310617607163052
24,0.12,9.487765913117787,0.12422560837381189,4499.3285056102195,66.51596436201622,5.6213651715292805,0.07360189055245223
25,0.125,9.759696771552886,0.12500790101982465,3886.6374330644135,57.154811416236925,5.782480303444334,0.07406538772075394
26,0.13,10.023793031742542,0.12575664519898663,3376.1193954934015,49.07435563136922,5.938953548311041,0.07450900790380537
27,0.135,10.280448254951327,0.12647813705602923,2947.609554262055,42.03290883021974,6.091018085531777,0.07493648147702177
28,0.14,10.530027895750361,0.1271704154214832,2585.905141399863,35.939128093463886,6.2388904416963324,0.07534664647563179
29,0.145,10.772905990142988,0.1278283405073065,2279.249127365636,30.751383348028597,6.382792227769958,0.07573645764896703
30,0.15,11.00948236813177,0.128447194793282,2018.297189220963,26.420841363949634,6.522960337292348,0.07610311993398658
31,0.155,11.240179533250146,0.12902475732481256,1795.4050017455902,22.865226318679447,6.659645097544914,0.07644531744695823
32,0.16,11.465421135402313,0.1295619327952363,1604.1725747790888,19.96849621715101,6.793097515017298,0.07676358620570416
33,0.165,11.685600198657085,0.1300622468157532,1439.1923490161184,17.59868349494282,6.923550450831097,0.07706001508427429
34,0.17,11.901048878384984,0.1305307169777147,1295.926471765967,15.630764006830683,7.051200702277531,0.07733757693355117
35,0.17500000000000002,12.11201977942476,0.1309726318274379,1170.6365567676262,13.962704439978134,7.1761979340991395,0.07759940514134674
36,0.18,12.31868333061161,0.13139261843595323,1060.3120443408602,12.520535795781953,7.29864312293544,0.07784824118085659
37,0.185,12.521139591507168,0.13179415832427782,962.5748566771734,11.255222392634286,7.418595552641028,0.07808614780332994
38,0.19,12.719438717281076,0.13217952473850317,875.5634048503792,10.136070506223154,7.536084939434282,0.0783144718744591
39,0.195,12.913603119911237,0.13255000961817823,797.811739577085,9.143987920087204,7.65112456209054,0.07853397884988986
40,0.2,13.10364570010806,0.1329062822183252,728.1406750458932,8.266023846464643,7.763722064095617,0.07874506525362031
41,0.20500000000000002,13.289581167930425,0.13324874603619774,665.5717769390405,7.4915700017119535,7.873886160948338,0.07894797015198379
42,0.21,13.47143015789014,0.13357780859233392,609.2673474315297,6.810206362881693,7.98162907830088,0.07914293499505194
43,0.215,13.649217751131545,0.13389402934149353,558.4934542734452,6.2109642529004345,8.086965676371397,0.07933029125174278
44,0.22,13.82296887811717,0.1341981522754613,512.5999282937437,5.682584752409029,8.189910726101234,0.07951047972651386
45,0.225,13.992703040144075,0.13449105552673388,471.0107557345656,5.214243837690979,8.29047578172909,0.07968402070026985
46,0.23,14.158430188790042,0.13477365975713024,433.2193949675309,4.796275122653705,8.38866673942201,0.07985145965192869
47,0.23500000000000001,14.320148772922728,0.13504683344541712,398.7852675089989,4.420610880718153,8.484482680156342,0.0800133111426986
48,0.24,14.477846156891108,0.13531132156340872,367.32936950555916,4.080872937910747,8.57791611749015,0.08017001655769052
49,0.245,14.63150099108963,0.13556770993605038,338.5283103528655,3.7721886359732992,8.668954402088472,0.08032192298977905
50,0.25,14.781086754829175,0.1358164249558909,312.1070055502923,3.4908609470392626,8.757581820823528,0.08046928307043141
51,0.255,14.926575598893667,0.13605775977317444,287.8307363381875,3.2340115248251142,8.843781873434379,0.08061227048696108
52,0.26,15.067941742340903,0.13629191431418625,265.497406634356,2.999276924154705,8.927539285082679,0.08075100369282352
53,0.265,15.205163939787123,0.13651903695092157,244.9306856605806,2.784595980029147,9.00884146818338,0.08088557059629704
54,0.27,15.338226836393005,0.13673925890179683,225.97444659708657,2.5880916717862257,9.087679325214499,0.08101604894241063
55,0.275,15.467121288094877,0.13695271693421668,208.48861137857716,2.408027644940784,9.164047438449511,0.08114251976388916
56,0.28,15.591843895874693,0.13715956403550833,192.34627032814524,2.242808919129137,9.237943794018992,0.08126507370352895
57,0.28500000000000003,15.712396071910973,0.13735997061522937,177.43180150812623,2.090997099451093,9.309369228618456,0.0813838117265478
58,0.29,15.828782937557932,0.13755412005165904,163.63966951522124,1.951319223628285,9.378326776576792,0.081498842481945
59,0.295,15.941012279383852,0.1377422022503018,150.87361350115725,1.8226612566554012,9.44482105132398,0.08161027848600716
60,0.3,16.04909369421769,0.1379244078570945,139.04600654041914,1.7040475027059891,9.508857738843487,0.08171823269371646
61,0.305,16.15303796537593,0.13810092444046823,128.07725252460887,1.5946130591418888,9.570443228095606,0.08182281623667703
62,0.31,16.25285664726128,0.13827193481361374,117.89516081238185,1.493577488453614,9.629584364898154,0.08192413742908138
63,0.315,16.348561800436126,0.13843761693028278,108.43429164995828,1.40022549028335,9.686288294961305,0.08202230170597409
64,0.32,16.440165811336794,0.13859814455253602,99.63529455849161,1.313896561866359,9.740562357070852,0.08211741201888297
65,0.325,16.527681242011848,0.13875368797999274,91.44427106498105,1.2339822404802427,9.79241399406033,0.08220956926788893
66,0.33,16.611120675956133,0.138904414436766,83.81218879972079,1.1599275715342445,9.841850661469886,0.0822988725308796
67,0.335,16.690496547692735,0.13905048802420505,76.69436294131006,1.0912331511977067,9.888879726576034,0.0823854190355499
68,0.34,16.765820960388467,0.13919206939174303,70.05000887031687,1.0274550446304984,9.933508360331453,0.08246930396438389
69,0.34500000000000003,16.837105504874774,0.13932931536085919,63.84186031452295,0.9682013967394534,9.975743430137468,0.08255062023185795
70,0.35000000000000003,16.904361095191913,0.13946237873928577,58.03584180629463,0.9131259905578771,10.015591402406333,0.08262945837436092
71,0.355,16.96759783223718,0.13959140842457116,52.600782866779,0.8619199610438398,10.053058261774767,0.08270590661155382
72,0.36,17.026824901062163,0.1397165498173705,47.508162918646505,0.8143032114777499,10.08814945025405,0.08278005109123857
