lambda_vdw,F,dF
0,0,0
0.05,2.08257258541731,0.05927534276253
0.1,4.5438330623136,0.105952935965528
0.15,6.98855001151855,0.153896273802514
0.2,9.29789821433979,0.199482386365359
0.25,11.421432864058,0.235985545745837
0.3,13.296936491158,0.261254509642088
0.35,14.8515124749328,0.275047356166717
0.4,16.0354650141298,0.280325506567344
0.45,16.8220319208953,0.281291124666041
0.5,17.2047977674175,0.28090463358816
0.55,17.1932229964573,0.280498213266422
0.6,16.8100770531484,0.280386887880441
0.65,16.0921366827757,0.280493156376535
0.7,15.0923552835431,0.280693324627881
0.75,13.8827726240139,0.280913322267475
0.8,12.5575422530504,0.281119377192562
0.85,11.2356104960898,0.281296495196196
0.9,10.0626511907874,0.281435931094599
0.95,9.21162090609008,0.281529026174303
1,8.88059467330576,0.281563703141929
